,Unnamed: 0,section,title,page_no,content,tagged_content
10,10,2.5.2,Error Margins,13,In calculation that has many steps it is best to leave the rounding off right until the end. For example Jack and Jill walks to school. They walk 09 kilometers to get to school and it takes them 17 minutes. We can calculate their speed in the following two ways. You will see that we get two different answers. In Method no rounding was done but in Method the time was rounded to decimal places. This made big difference to the answer. The answer in Method is more accurate because rounded numbers were not used in the calculation. Always only round off your final answer. ,Speed
11,11,2.5.3,Scientific Notation,13,In Science one often needs to work with very large or very small numbers. These can be written more easily in scientific notation in the general form 10e where is decimal number between and 10 that is rounded off to few decimal places. is known as the exponent and is an integer. If it represents how many times the decimal place in should be moved to the right. If then it represents how many times the decimal place in should be moved to the left. For example 324 103 represents 3240 (the decimal moved three places to the right) and 324 103 represents 000324 (the decimal moved three places to the left). If number must be converted into scientific notation we need to work out how many times the number must be multiplied or divided by 10 to make it into number between and 10 (i.e. the value of e) and what this number between and 10 is (the value of d). We do this by counting the number of decimal places the decimal comma must move. For example write the speed of light in scientific notation to two decimal places. The speed of light is 299 792 458 ms1. First find where the decimal comma must go for two decimal places (to find d) and then count how many places there are after the decimal comma to determine e. In this example the decimal comma must go after the first but since the number after the is 300. because there are digits left after the decimal comma. So the speed of light in scientific notation to two decimal places is 300 108 ms1. ,Light|Light|Light|Work (physics)|Work (physics)|Speed|Speed|Speed
12,12,2.5.4,Significant Figures,15,In number each non-zero digit is significant figure. Zeroes are only counted if they are between two non-zero digits or are at the end of the decimal part. For example the number 2000 has significant figure (the 2) but 20000 has significant figures. You estimate number like this by removing significant figures from the number (starting from the right) until you have the desired number of significant figures rounding as you go. For example 6827 has significant figures but if you wish to write it to significant figures it would mean removing the and rounding up so it would be 683. ,
13,13,2.6,Prefixes of Base Units,15,Now that you know how to write numbers in scientific notation another important aspect of units is the prefixes that are used with the units. Definition: Prefix prefix is group of letters that are placed in front of word. The effect of the prefix is to change meaning of the word. For example the prefix un is often added to word to mean not as in unnecessary which means not necessary. In the case of units the prefixes have special use. The kilogram (kg) is simple example. kg is equal to 000 or 103 g. Grouping the 103 and the together we can replace the 103 with the prefix (kilo). Therefore the takes the place of the 103. The kilogram is unique in that it is the only SI base unit containing prefix. In Science all the prefixes used with units are some power of 10. Table 2.4 lists some of these prefixes. You will not use most of these prefixes but those prefixes listed in bold should be learnt. The case of the prefix symbol is very important. Where letter features twice in the table it is written in uppercase for exponents bigger than one and in lowercase for exponents less than one. For example means mega (106) and means milli (103). ,Kilogram|Kilogram|Kilogram|Kilogram|Power (physics)
14,14,2.7,The Importance of Units,17,Without units much of our work as scientists would be meaningless. We need to express our thoughts clearly and units give meaning to the numbers we measure and calculate. Depending on which units we use the numbers are different. For example if you have 12 water it means nothing. You could have 12 ml of water 12 litres of water or even 12 bottles of water. Units are an essential part of the language we use. Units must be specified when expressing physical quantities. Imagine that you are baking cake but the units like grams and millilitres for the flour milk sugar and baking powder are not specified ,Work (physics)|Physical quantity|Physics
15,15,2.8,How to Change Units,17,It is very important that you are aware that different systems of units exist. Furthermore you must be able to convert between units. Being able to change between units (for example converting from millimetres to metres) is useful skill in Science. If you want to change millimetre to metre you divide by 1000 (follow the arrow from mm to m) or if you want to change kilometre to millimetre you multiply by 10001000. ,Metre|Metre
16,16,2.8.1,Two other useful conversions,19,Very often in Science you need to convert speed and temperature. The following two rules will help you do this: Converting speed When converting kmh1 to ms1you divide by 36. For example 72 kmh1 36 20 ms1. When converting ms1to kmh1 you multiply by 36. For example 30 ms136 108 kmh1. Converting temperature Converting between the kelvin and celsius temperature scales is easy. To convert from celsius to kelvin add 273. To convert from kelvin to celsius subtract 273. Representing the kelvin temperature by TK and the celsius temperature by ToC ,Speed|Speed|Temperature|Temperature|Temperature|Temperature|Temperature
17,17,2.9,A sanity test,19,sanity test is method of checking whether an answer makes sense. All we have to do is to take careful look at our answer and ask the question Does the answer make sense? Imagine you were calculating the number of people in classroom. If the answer you got was 000 000 people you would know it was wrong it is not possible to have that many people in classroom. That is all sanity test is is your answer insane or not? It is useful to have an idea of some numbers before we start. For example let us consider masses. An average person has mass around 70 kg while the heaviest person in medical history had mass of 635 kg. If you ever have to calculate persons mass and you get 000 kg this should fail your sanity check your answer is insane and you must have made mistake somewhere. In the same way an answer of 0.01 kg should fail your sanity test. The only problem with sanity check is that you must know what typical values for things are. For example finding the number of learners in classroom you need to know that there are usually 2050 people in classroom. If you get and answer of 2500 you should realise that it is wrong. ,Mass|Mass|Mass|Mass|Kilogram|Kilogram|Kilogram|Kilogram
18,18,3,Motion in One Dimension,23,,
19,19,3.1,Introduction,23,This chapter is about how things move in straight line or more scientifically how things move in one dimension. This is useful for learning how to describe the movement of cars along straight road or of trains along straight railway tracks. If you want to understand how any object moves for example car on the freeway soccer ball being kicked towards the goal or your dog chasing the neighbours cat then you have to understand three basic ideas about what it means when something is moving. These three ideas describe different parts of exactly how an object moves. They are: 1. position or displacement which tells us exactly where the object is 2. speed or velocity which tells us exactly how fast the objects position is changing or more familiarly how fast the object is moving and 3. acceleration which tells us exactly how fast the objects velocity is changing. You will also learn how to use position displacement speed velocity and acceleration to describe the motion of simple objects. You will learn how to read and draw graphs that summarise the motion of moving object. You will also learn about the equations that can be used to describe motion and how to apply these equations to objects moving in one dimension. ,Velocity|Velocity|Velocity|Speed|Speed|Position (vector)|Position (vector)|Position (vector)|Displacement (vector)|Displacement (vector)|Motion|Motion|Motion
20,20,3.2,"Reference Point, Frame of Reference and Position",23,The most important idea when studying motion is you have to know where you are. The word position describes your location (where you are). However saying that you are here is meaningless and you have to specify your position relative to known reference point. For example if you are from the doorway inside your classroom then your reference point is the doorway. This defines your position inside the classroom. Notice that you need reference point (the doorway) and direction (inside) to define your location. ,Position (vector)|Position (vector)|Position (vector)|Direction (geometry)|Motion
21,21,3.2.1,Frames of Reference,23,Definition: Frame of Reference frame of reference is reference point combined with set of directions. frame of reference is similar to the idea of reference point. frame of reference is defined as reference point combined with set of directions. For example boy is standing still inside train as it pulls out of station. You are standing on the platform watching the train move from left to right. To you it looks as if the boy is moving from left to right because relative to where you are standing (the platform) he is moving. According to the boy and his frame of reference (the train) he is not moving. frame of reference must have an origin (where you are standing on the platform) and at least positive direction. The train was moving from left to right making to your right positive and to your left negative. If someone else was looking at the same boy his frame of reference will be different. For example if he was standing on the other side of the platform the boy will be moving from right to left. ,Position (vector)|Position (vector)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Frame of reference|Frame of reference|Frame of reference|Frame of reference|Frame of reference|Frame of reference|Frame of reference
22,22,3.2.2,Position,25,Definition: Position Position is measurement of location with reference to an origin. position is measurement of location with reference to an origin. Positions can therefore be negative or positive. The symbol is used to indicate position. has units of length for example cm or km. Figure 3.2.2 shows the position of school. Depending on what reference point we choose we can say that the school is 300 from Joans house (with Joans house as the reference point or origin) or 500 from Joels house (with Joels house as the reference point or origin). The shop is also 300 from Joans house but in the opposite direction as the school. When we choose reference point we have positive direction and negative direction. If we choose the direction towards the school as positive then the direction towards the shop is negative. negative direction is always opposite to the direction chosen as positive. ,Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Length
23,23,3.3,Displacement and Distance,28,Definition: Displacement Displacement is the change in an objects position. The displacement of an object is defined as its change in position (final position minus initial position). Displacement has magnitude and direction and is therefore vector. For example if the initial position of car is xi and it moves to final position of xf then the displacement is: However subtracting an initial quantity from final quantity happens often in Physics so we use the shortcut to mean final initial. Therefore displacement can be written: Important: The words initial and final will be used very often in Physics. Initial will always refer to something that happened earlier in time and final will always refer to something that happened later in time. It will often happen that the final value is smaller than the initial value such that the difference is negative. This is ok Displacement does not depend on the path travelled but only on the initial and final positions (Figure 3.4). We use the word distance to describe how far an object travels along particular path. Distance is the actual distance that was covered. Distance (symbol d) does not have direction so it is scalar. Displacement is the shortest distance from the starting point to the endpoint from the school to the shop in the figure. Displacement has direction and is therefore vector. Figure 3.2.2 shows the five houses we discussed earlier. Jack walks to school but instead of walking straight to school he decided to walk to his friend Joels house first to fetch him so that they can walk to school together. Jack covers distance of 400 to Joels house and another 500 to school. He covers distance of 900 m. His displacement however is only 100 towards the school. This is because displacement only looks at the starting position (his house) and the end position (the school). It does not depend on the path he travelled. To calculate his distance and displacement we need to choose reference point and direction. Lets choose Jacks house as the reference point and towards Joels house as the positive direc- tion (which means that towards the school is negative). We would do the calculations as follows: It is possible to have displacement of and distance that is not m. This happens when an object completes round trip back to its original position like an athlete running around track. ,Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Distance|Distance|Distance|Distance|Distance|Distance|Distance|Distance|Distance|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Scalar (mathematics)|Euclidean vector|Euclidean vector|Physics|Physics
24,24,3.3.1,Interpreting Direction,29,Very often in calculations you will get negative answer. For example Jacks displacement in the example above is calculated as -100 m. The minus sign in front of the answer means that his displacement is 100 in the opposite direction (opposite to the direction chosen as positive in the beginning of the question). When we start calculation we choose frame of reference and positive direction. In the first example above the reference point is Jacks house and the positive direction is towards Joels house. Therefore Jacks displacement is 100 towards the school. Notice that distance has no direction but displacement has. ,Position (vector)|Position (vector)|Position (vector)|Distance|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Frame of reference
25,25,3.3.2,Differences between Distance and Displacement,29,Definition: Vectors and Scalars vector is physical quantity with magnitude (size) and direction. scalar is physical quantity with magnitude (size) only. ,Physical quantity|Physical quantity|Direction (geometry)|Scalar (mathematics)|Scalar (mathematics)|Euclidean vector|Euclidean vector|Physics|Physics
26,26,3.4,"Speed, Average Velocity and Instantaneous Velocity",31,Definition: Velocity Velocity is the rate of change of position. Definition: Instantaneous velocity Instantaneous velocity is the velocity of an accelerating body at specific instant in time. Definition: Average velocity Average velocity is the total displacement of body over time interval. Velocity is the rate of change of position. It tells us how much an objects position changes in time. This is the same as the displacement divided by the time taken. Since displacement is vector and time taken is scalar velocity is also vector. We use the symbol for velocity. If we have displacement of and time taken of is then defined as: Velocity can be positive or negative. Positive values of velocity mean that the object is moving away from the reference point or origin and negative values mean that the object is moving towards the reference point or origin. Important: An instant in time is different from the time taken or the time interval. It is therefore useful to use the symbol for an instant in time (for example during the 4th second) and the symbol for the time taken (for example during the first seconds of the motion). Average velocity (symbol v) is the displacement for the whole motion divided by the time taken for the whole motion. Instantaneous velocity is the velocity at specific instant in time. (Average) Speed (symbol s) is the distance travelled (d) divided by the time taken (t) for the journey. Distance and time are scalars and therefore speed will also be scalar. Speed is calculated as follows: Instantaneous speed is the magnitude of instantaneous velocity. It has the same value but no direction. ,Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Speed|Speed|Speed|Speed|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Distance|Distance|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Displacement (vector)|Direction (geometry)|Scalar (mathematics)|Scalar (mathematics)|Scalar (mathematics)|Euclidean vector|Euclidean vector|Motion|Motion|Motion
27,27,3.4.1,Differences between Speed and Velocity,35,The differences between speed and velocity can be summarised as: Speed 1. depends on the path taken 2. always positive 3. is scalar 4. no dependence on direction and so is only positive Velocity 1. independent of path taken 2. can be positive or negative 3. is vector 4. direction can be guessed from the sign (i.e. positive or negative) Additionally an object that makes round trip i.e. travels away from its starting point and then returns to the same point has zero velocity but travels non-zero speed. ,Velocity|Velocity|Velocity|Speed|Speed|Speed|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Direction (geometry)|Direction (geometry)|Scalar (mathematics)|Euclidean vector
28,28,3.5,Acceleration,38,Definition: Acceleration Acceleration is the rate of change of velocity. Acceleration (symbol a) is the rate of change of velocity. It is measure of how fast the velocity of an object changes in time. If we have change in velocity (v) over time interval (t) then the acceleration (a) is defined as: Since velocity is vector acceleration is also vector. Acceleration does not provide any infor- mation about motion but only about how the motion changes. It is not possible to tell how fast an object is moving or in which direction from the acceleration. Like velocity acceleration can be negative or positive. We see that when the sign of the acceler- ation and the velocity are the same the object is speeding up. If both velocity and acceleration are positive the object is speeding up in positive direction. If both velocity and acceleration are negative the object is speeding up in negative direction. If velocity is positive and accel- eration is negative then the object is slowing down. Similarly if the velocity is negative and the acceleration is positive the object is slowing down. This is illustrated in the following worked example. Important: Acceleration does not tell us about the direction of the motion. Acceleration only tells us how the velocity changes. Important: Deceleration Avoid the use of the word deceleration to refer to negative acceleration. This word usually means slowing down and it is possible for an object to slow down with both positive and negative acceleration because the sign of the velocity of the object must also be taken into account to determine whether the body is slowing down or not. ,Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Work (physics)|Speed|Speed|Speed|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Euclidean vector|Euclidean vector|Acceleration|Acceleration|Motion|Motion|Motion
29,29,3.6,Description of Motion,39,The purpose of this chapter is to describe motion and now that we understand the definitions of displacement distance velocity speed and acceleration we are ready to start using these ideas to describe how an object is moving. There are many ways of describing motion: 1. words 2. diagrams 3. graphs These methods will be described in this section. We will consider three types of motion: when the object is not moving (stationary object) when the object is moving at constant velocity (uniform motion) and when the object is moving at constant acceleration (motion at constant acceleration). ,Velocity|Velocity|Speed|Distance|Displacement (vector)|Motion|Motion|Motion|Motion|Motion
30,30,3.6.1,Stationary Object,40,The simplest motion that we can come across is that of stationary object. stationary object does not move and so its position does not change for as long as it is standing still. An example of this situation is when someone is waiting for something without moving. The person remains in the same position. Lesedi is waiting for taxi. He is standing two metres from stop street at s. After one minute at 60 he is still metres from the stop street and after two minutes at 120 also metres from the stop street. His position has not changed. His displacement is zero (because his position is the same) his velocity is zero (because his displacement is zero) and his acceleration is also zero (because his velocity is not changing). We can now draw graphs of position vs.time (x vs. t) velocity vs.time (v vs. t) and acceleration vs.time (a vs. t) for stationary object. The graphs are shown in Figure 3.5. Lesedis position is metres from the stop street. If the stop street is taken as the reference point his position remains at metres for 120 seconds. The graph is horisontal line at m. The velocity and acceleration graphs are also shown. They are both horisontal lines on the x-axis. Since his position is not changing his velocity is ms1and since velocity is not changing acceleration is ms2. Definition: Gradient The gradient of line can be calculated by dividing the change in the y-value by the change in the x-value. Since we know that velocity is the rate of change of position we can confirm the value for the velocity vs. time graph by calculating the gradient of the vs. graph. ,Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Motion graphs and derivatives|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Metre|Metre|Metre|Metre|Metre|Displacement (vector)|Displacement (vector)|Motion
31,31,3.6.2,Motion at Constant Velocity,41,Motion at constant velocity or uniform motion means that the position of the object is changing at the same rate. Assume that Lesedi takes 100 to walk the 100 to the taxi-stop every morning. If we assume that Lesedis house is the origin then Lesedis velocity is: Lesedis velocity is ms1. This means that he walked in the first second another metre in the second second and another in the third second and so on. For example after 50 he will be 50 from home. His position increases by every s. diagram of Lesedis position is shown in Figure 3.6. We can now draw graphs of position vs.time (x vs. t) velocity vs.time (v vs. t) and acceleration vs.time (a vs. t) for Lesedi moving at constant velocity. The graphs are shown in Figure 3.7. In the evening Lesedi walks 100 from the bus stop to his house in 100 s. Assume that Lesedis house is the origin. The following graphs can be drawn to describe the motion. We see that the vs. graph is horisontal line. If the velocity vs. time graph is horisontal line it means that the velocity is constant (not changing). Motion at constant velocity is known as uniform motion. We can use the vs. to calculate the velocity by finding the gradient of the line. Lesedi has velocity of -1 ms1 or ms1towards his house. You will notice that the vs. graph is horisontal line corresponding to velocity of -1 ms1. The horisontal line means that the velocity stays the same (remains constant) during the motion. This is uniform velocity. ,Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Motion graphs and derivatives|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Metre|Motion|Motion|Motion|Motion|Motion|Motion
32,32,3.6.3,Motion at Constant Acceleration,46,The final situation we will be studying is motion at constant acceleration. We know that acceleration is the rate of change of velocity. So if we have constant acceleration this means that the velocity changes at constant rate. Lets look at our first example of Lesedi waiting at the taxi stop again. taxi arrived and Lesedi got in. The taxi stopped at the stop street and then accelerated as follows: After the taxi covered distance of 25 after it covered 10 after seconds it covered 225 and after it covered 40 m. The taxi is covering larger distance every second. This means that it is accelerating. The acceleration does not change during the motion (the gradient stays constant). This is motion at constant or uniform acceleration. The graphs for this situation are shown in Figure 3.9. Velocity from Acceleration vs. Time Graphs Just as we used velocity vs. time graphs to find displacement we can use acceleration vs. time graphs to find the velocity of an object at given moment in time. We simply calculate the area under the acceleration vs. time graph at given time. In the graph below showing an object at constant positive acceleration the increase in velocity of the object after seconds corresponds to the shaded portion. The velocity of the object at is therefore 10 ms1. This corresponds with the values obtained in Figure 3.9. Important: Often you will be required to describe the motion of an object that is presented as graph of either position velocity or acceleration as functions of time. The description of the motion represented by graph should include the following (where possible): 1. whether the object is moving in the positive or negative direction 2. whether the object is at rest moving at constant velocity or moving at constant positive acceleration (speeding up) or constant negative acceleration (slowing down) You will also often be required to draw graphs based on description of the motion in words or from diagram. Remember that these are just different methods of presenting the same information. If you keep in mind the general shapes of the graphs for the different types of motion there should not be any difficulty with explaining what is happening. ,Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Velocity|Motion graphs and derivatives|Speed|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Distance|Distance|Displacement (vector)|Direction (geometry)|Motion|Motion|Motion|Motion|Motion|Motion|Motion
33,33,3.8,Worked Examples,49,,
34,34,3.9,Equations of Motion,54,In this chapter we will look at the third way to describe motion. We have looked at describing motion in terms of graphs and words. In this section we examine equations that can be used to describe motion. This section is about solving problems relating to uniformly accelerated motion. In other words motion at constant acceleration. The questions can vary lot but the following method for answering them will always work. Use this when attempting question that involves motion with constant acceleration. You need any three known quantities (vi vf or a) to be able to calculate the fourth one. 1. Read the question carefully to identify the quantities that are given. Write them down. 2. Identify the equation to use. Write it down 3. Ensure that all the values are in the correct unit and fill them in your equation. 4. Calculate the answer and fill in its unit. Galileo Galilei of Pisa Italy was the first to determined the correct mathematical law for acceleration: the total distance covered starting from rest is proportional to the square of the time. He also concluded that objects retain their velocity unless force often friction acts upon them refuting the accepted Aristotelian hypothesis that objects naturally slow down and stop unless force acts upon them. This principle was incorporated into Newtons laws of motion (1st law). ,Velocity|Newton's laws of motion|Work (physics)|Force|Force|Distance|Friction|Motion|Motion|Motion|Motion|Motion|Motion|Motion
35,35,3.9.1,Finding the Equations of Motion,54,,
36,36,3.10,Applications in the Real-World,59,What we have learnt in this chapter can be directly applied to road safety. We can analyse the relationship between speed and stopping distance. The following worked example illustrates this application. ,Work (physics)|Speed|Distance
37,37,4,Gravity and Mechanical Energy,67,,
38,38,4.1,Weight,67,Weight is the gravitational force that the Earth exerts on any object. The weight of an objects gives you an indication of how strongly the Earth attracts that body towards its centre. Weight is calculated as follows: Weight mg where mass of the object (in kg) and the acceleration due to gravity (98 ms2) Important: Weight is sometimes abbreviated as Fg which refers to the force of gravity. Do not use the abbreviation for weight as it refers to Work. Now we have said that the value of is approximately 98 ms2on the surface of the Earth. The actual value varies slightly over the surface of the Earth. Each planet in our Solar System has its own value for g. These values are listed as multiples of on Earth in Table 4.1 ,Gravity|Gravity|Mass|Work (physics)|Force|Force|Le Sage's theory of gravitation|Le Sage's theory of gravitation|Newton's law of universal gravitation|Planet|Kilogram|Gravity of Earth|Gravity of Earth
39,39,4.1.1,Differences between Mass and Weight,68,Mass is measured in kilograms (kg) and is the amount of matter in an object. An objects mass does not change unless matter is added or removed from the object. The differences between mass and weight can be summarised in the following table: Mass 1. is measure of how many molecules there are in an object. 2. is measured in kilograms. 3. is the same on any planet. 4. is scalar. Weight 1. is the force with which the Earth attracts an object. 2. is measured in newtons 3. is different on different planets. 4. is vector. ,Mass|Mass|Mass|Mass|Force|Planet|Planet|Scalar (mathematics)|Kilogram|Kilogram|Kilogram|Euclidean vector
40,40,4.2,Acceleration due to Gravity,69,,
41,41,4.2.1,Gravitational Fields,69,field is region of space in which mass experiences force. Therefore gravitational field is region of space in which mass experiences gravitational force. ,Mass|Mass|Force|Force|Newton's law of universal gravitation|Gravitational field|Field (physics)|Field (physics)
42,42,4.2.2,Free fall,69,Important: Free fall is motion in the Earths gravitational field when no other forces act on the object. Free fall is the term used to describe special kind of motion in the Earths gravitational field. Free fall is motion in the Earths gravitational field when no other forces act on the object. It is basically an ideal situation since in reality there is always some air friction which slows down the motion. If metal ball and tennis ball (of the same size) were dropped from the same height both would reach the ground at the same time. It does not matter that the one ball is heavier than the other. The acceleration of an object due to gravity is independent of the mass of the object. It does not matter what the mass of the object is. The shape of the object however is important. The sheet of paper took much longer to reach the ground than the tennis ball. This is because the effect of air friction on the paper was much greater than the air friction on the tennis ball. If we lived in world where there was no air resistance the A4 sheet of paper and the tennis ball would reach the ground at the same time. This happens in outer space or in vaccuum. Galileo Galilei an Italian scientist studied the motion of objects. The following case study will tell you more about one of his investigations. ,Gravity|Mass|Mass|Force|Force|Le Sage's theory of gravitation|Gravitational field|Gravitational field|Gravitational field|Friction|Friction|Friction|Free fall|Free fall|Free fall|Field (physics)|Field (physics)|Field (physics)|Electrical |Electrical resistance and conductance|Gravity of Earth|Gravity of Earth|Gravity of Earth|Gravity of Earth|Motion|Motion|Motion|Motion|Motion
