,topic_a,topic_b,relation
340,Wave,Mass,0
341,Energy,Equations of motion,0
342,Physics,Contact force,0
343,Energy,Transverse wave,0
344,Magnet,Mass,0
345,Speed,Gravity of Earth,0
346,Energy,Electrostatics,0
347,Gravitational acceleration,Physics,1
348,Gravity,Physics,1
349,Mirror image,Length,0
350,Diffraction,Specular reflection,0
351,Projectile motion,Motion,1
352,Potential energy,Work (physics),1
353,Motion,Temperature,0
354,Photoelectric effect,Color,0
355,Deformation (engineering),Hardness,0
356,Intensity (physics),Speed,0
357,Electric potential energy,Coulomb,0
358,Specular reflection,Refraction,0
359,Refractive index,Frequency,0
360,Lever,Energy,0
361,Electromagnetic radiation,Laser,0
362,Emission spectrum,Magnet,1
363,Snell's law,Telescope,0
364,Velocity,Equations of motion,0
365,Electron,Electrical conductor,0
366,Interference (wave propagation),Ray (optics),0
367,Energy,Energy level,0
368,Refraction,Length,0
369,Joule,Coulomb,0
370,Dielectric,Coulomb's law,1
371,Magnetism,Force,1
372,Sonic boom,Wave,1
373,Series and parallel circuits,Ohm's law,1
374,Wave,Frequency,0
375,Creep (deformation),Force,1
376,Telescope,Optical microscope,0
377,Stiffness,Hooke's law,0
378,Ohm,Electromotive force,0
379,Kinetic energy,Physics,1
380,Electrostatics,Electric field,1
381,Physics,Electromagnetic spectrum,0
382,Electron,Potential energy,0
383,Torque,Speed,0
384,Scattering,Wavelength,1
385,Electric potential,Motion,1
386,Electrostatics,Motion,1
387,Emission spectrum,Magnetic field,1
388,Force,Emission spectrum,0
389,Hooke's law,Mass,0
390,Sonic boom,Hertz,0
391,Photoelectric effect,Light,1
392,Displacement (vector),Free fall,0
393,Electron,Le Sage's theory of gravitation,0
394,Force,Electrostatics,0
395,Elasticity (physics),Energy,0
396,Energy,Emission spectrum,0
397,Elastic collision,Distance,1
398,Torque,Lever,1
399,Amplitude,Distance,0
400,Frequency,Interference (wave propagation),0
401,Tension (physics),Physics,1
402,Color,Dispersion (optics),0
403,Physics,Newton's law of universal gravitation,0
404,Diffraction,Wavelength,0
405,Gravitational constant,Newton's law of universal gravitation,1
406,Motion,Gravity of Earth,0
407,Field (physics),Dielectric,0
408,Magnetic field,Temperature,0
409,Tension (physics),Compression (physics),0
410,Electric potential,Gravity,0
411,Specular reflection,Light,1
412,Ray (optics),Light,1
413,Distance,Lever,0
414,Force,Length,0
415,Physics,Refractive index,0
416,Refractive index,Color,0
417,Total internal reflection,Wave,1
418,Total internal reflection,Reflection (physics),1
419,Sound,Sound intensity,0
420,Torque,Energy,0
421,Electrical resistance and conductance,Metre,0
422,Field (physics),Electrostatics,0
423,Gravity of Earth,Free fall,0
424,Position (vector),Electric potential,0
425,Diffraction,Transverse wave,0
426,Dielectric,Reflection (physics),0
427,Interference (wave propagation),Energy,0
428,Force,Inelastic collision,0
429,Mirror image,Physics,1
430,Energy,Electromagnetic radiation,0
431,Magnetism,Field (physics),0
432,Friction,Deformation (engineering),0
433,Temperature,Velocity,0
434,Elasticity (physics),Strength of materials,0
435,Gravity of Earth,Motion,1
436,Displacement (vector),Position (vector),1
437,Intensity (physics),Power (physics),1
438,Physics,Motion graphs and derivatives,0
439,Magnetic field,Physics,1
440,Curved mirror,Geometrical optics,0
441,Interference (wave propagation),Standing wave,0
442,Physics,Elastic collision,0
443,Speed,Inelastic collision,0
444,Energy,Mirror image,0
445,Wave,Dispersion (optics),0
446,Distance,Physics,0
447,Force,Fatigue (material),0
448,Mass,Collision,0
449,Electromotive force,Magnetic field,1
450,Electromagnetic radiation,Energy,1
451,Normal force,Physics,1
452,Electric field,Wave,0
453,Speed,Refraction,0
454,Gravity of Earth,Newton's law of universal gravitation,0
455,Refraction,Snell's law,0
456,Dielectric,Energy,1
457,Sound intensity,Velocity,0
458,Electromagnetic radiation,Transverse wave,0
459,Gravitational field,Mass,1
460,Magnification,Virtual image,0
461,Motion,Force,0
462,Dielectric,Physics,1
463,Mass,Gravity of Earth,0
464,Voltmeter,Voltage,1
465,Transmission medium,Electromagnetic spectrum,0
466,Shock wave,Velocity,0
467,Electric field,Electric potential,0
468,Position (vector),Electric potential energy,0
469,Hertz,Kilogram,0
470,Electron,Field (physics),0
471,Joule,Velocity,0
472,Insulator (electricity),Dielectric,0
473,Mass,Velocity,0
474,Force,Le Sage's theory of gravitation,0
475,Force,Direction (geometry),0
476,Inelastic collision,Mass,1
477,Electromagnetic spectrum,Coulomb's law,1
478,Doppler effect,Relative velocity,1
479,Snell's law,Wavelength,1
480,Speed,Dielectric,0
481,Magnet,Force,0
482,Physics,Energy,0
483,Mass,Absorption spectroscopy,0
484,Acceleration,Energy,0
485,Joule,Torque,0
486,Sound intensity,Physics,1
487,Scalar multiplication,Scalar (mathematics),1
488,Velocity,Length,0
489,Velocity,Mechanical energy,0
490,Amplitude,Electromagnetic spectrum,0
491,Standing wave,Amplitude,1
492,Electron,Dielectric,0
493,Refracting telescope,Refraction,1
494,Dispersion (optics),Refracting telescope,0
495,Voltage,Power (physics),0
496,Equations of motion,Length,0
497,Electric current,Electrical resistance and conductance,0
498,Emission spectrum,Electric current,1
499,Amplitude,Electrical resistance and conductance,0
500,Distance,Equations of motion,0
501,Absorption spectroscopy,Electromagnetic spectrum,0
502,Electrical resistance and conductance,Ohm's law,1
503,Motion,Power (physics),0
504,Le Sage's theory of gravitation,Mass,1
505,Wavelength,Doppler effect,0
506,Wave,Length,0
507,Normal force,Force,1
508,Telescope,Electromagnetic radiation,0
509,Curved mirror,Reflection (physics),0
510,Voltage,Coulomb,0
511,Friction,Normal force,0
512,Physics,Hardness,0
513,Euclidean vector,Inertial frame of reference,0
514,Voltage,Electrical resistance and conductance,0
515,Distance,Doppler effect,0
516,Coulomb's law,Electric field,0
517,Electromagnetic radiation,Dispersion (optics),0
518,Displacement (vector),Potential energy,0
519,Equations of motion,Force,1
520,Friction,Physics,1
521,Gravitational acceleration,Displacement (vector),1
522,Specular reflection,Mirror image,0
523,Electromagnetic spectrum,Reflection (physics),0
524,Electron,Refractive index,0
525,Electric potential,Gravitational field,0
526,Coulomb's law,Electric potential energy,0
527,Magnet,Electromagnetic spectrum,0
528,Plasticity (physics),Hooke's law,0
529,Snell's law,Total internal reflection,0
530,Physics,Diffraction,0
531,Electromotive force,Joule,0
532,Deformation (engineering),Strength of materials,0
533,Virtual image,Plane mirror,0
534,Total internal reflection,Refraction,1
535,Magnetic field,Coulomb,0
536,Sonic boom,Mass,0
537,Gravitational constant,Physics,1
538,Equations of motion,Torque,0
539,Electromagnetic spectrum,Metre,0
540,Motion,Acceleration,0
541,Angle of incidence,Reflection (physics),0
542,Intensity (physics),Sound intensity,0
543,Doppler effect,Wave,1
544,Electric field,Electric potential energy,0
545,Magnetic field,Hertz,0
546,Motion graphs and derivatives,Euclidean vector,1
547,Capacitance,Energy,0
548,Wave,Dielectric,0
549,Force,Kilogram,0
550,Shock wave,Force,0
551,Interference (wave propagation),Electromagnetic spectrum,0
552,Virtual image,Optical microscope,0
553,Motion,Velocity,0
554,Free fall,Gravitational acceleration,1
555,Hooke's law,Distance,0
556,Transverse wave,Physics,1
557,Field (physics),Emission spectrum,0
558,Refractive index,Wavelength,0
559,Le Sage's theory of gravitation,Velocity,0
560,Speed,Collision,0
561,Electron,Dispersion (optics),0
562,Electromagnetic radiation,Magnetic field,1
563,Inertial frame of reference,Speed,1
564,Acceleration,Electromagnetic radiation,0
565,Specular reflection,Angle of incidence,1
566,Magnet,Length,0
567,Mechanical energy,Position (vector),1
568,Euclidean vector,Free fall,0
569,Intensity (physics),Interference (wave propagation),0
570,Wave,Le Sage's theory of gravitation,0
571,Voltage,Electric potential,0
572,Newton's laws of motion,Newton's law of universal gravitation,0
573,Acceleration,Direction (geometry),0
574,Photoelectric effect,Voltage,0
575,Force,Physics,1
576,Energy,Absorption spectroscopy,0
577,Physics,Electric potential,0
578,Gravity,Force,1
579,Inelastic collision,Velocity,0
580,Speed,Mass,0
581,Sonic boom,Sound,1
582,Coulomb's law,Electromagnetic spectrum,0
583,Energy,Physics,1
584,Gravitational field,Distance,1
585,Physics,Projectile motion,0
586,Power (physics),Velocity,0
587,Gravity of Earth,Kilogram,0
588,Hooke's law,Wave,0
589,Acceleration,Newton's law of universal gravitation,0
590,Kinetic energy,Force,0
591,Magnet,Electrical resistance and conductance,0
592,Energy,Projectile motion,0
593,Motion,Magnetism,0
594,Torque,Distance,0
595,Strength of materials,Force,1
596,Electric potential energy,Energy,1
597,Displacement (vector),Velocity,0
598,Magnet,Field (physics),0
599,Voltage,Voltmeter,0
600,Diffraction,Optical microscope,0
601,Energy,Electric potential energy,0
602,Amplitude,Power (physics),0
603,Laser,Power (physics),0
604,Distance,Electric potential energy,0
605,Le Sage's theory of gravitation,Laser,0
606,Torque,Length,0
607,Projectile motion,Euclidean vector,1
608,Electroscope,Capacitance,0
609,Dispersion (optics),Phase velocity,1
610,Gravity of Earth,Physics,1
611,Photoelectric effect,Electric field,0
612,Energy level,Potential energy,0
613,Physics,Non-inertial reference frame,0
614,Wave,Interference (wave propagation),0
615,Interference (wave propagation),Frequency,1
616,Light,Hertz,0
617,Elasticity (physics),Hooke's law,0
618,Reflection (physics),Wavelength,0
619,Joule,Power (physics),0
620,Specular reflection,Wavelength,0
621,Electromagnetic radiation,Metre,0
622,Magnetism,Electron,0
623,Motion graphs and derivatives,Physics,1
624,Collision,Planet,0
625,Gravitational acceleration,Inertial frame of reference,0
626,Friction,Velocity,0
627,Le Sage's theory of gravitation,Force,1
628,Electron,Reflection (physics),0
629,Temperature,Magnetism,0
630,Electron,Kilogram,0
631,Potential energy,Electric potential energy,0
632,Free fall,Metre,0
633,Electromotive force,Voltmeter,0
634,Friction,Coulomb,0
635,Intensity (physics),Force,1
636,Deformation (engineering),Fatigue (material),0
637,Wave,Electron,0
638,Work (physics),Planet,0
639,Newton's law of universal gravitation,Velocity,0
640,Relative velocity,Velocity,1
641,Energy,Wavelength,0
642,Free fall,Planet,0
643,Telescope,Planet,0
644,Hooke's law,Length,1
645,Position (vector),Potential energy,0
646,Electromagnetic spectrum,Magnetic field,1
647,Potential energy,Energy,1
648,Electrostatics,Euclidean vector,1
649,Speed,Work (physics),0
650,Motion graphs and derivatives,Displacement (vector),1
651,Electrostatics,Electric potential energy,1
652,Displacement (vector),Electrostatics,0
653,Force,Mechanical energy,0
654,Voltage,Electric field,0
655,Electrostatics,Coulomb's law,1
656,Gravitational acceleration,Euclidean vector,1
657,Crest (physics),Frequency,0
658,Dielectric,Frequency,0
659,Electric potential,Electroscope,0
660,Shock wave,Magnetic field,0
661,Hooke's law,Dielectric,0
662,Physics,Motion,0
663,Newton's law of universal gravitation,Free fall,0
664,Mass,Elastic collision,0
665,Electron,Electromagnetic spectrum,0
666,Acceleration,Motion,1
667,Gravity,Gravitational field,0
668,Light,Reflection (physics),0
669,Magnetism,Magnetic field,0
670,Energy level,Emission spectrum,0
671,Physics,Lever,0
672,Resonance (particle physics),Scattering,0
673,Energy,Tension (physics),0
674,Kinetic energy,Elastic collision,0
675,Wavelength,Scattering,0
676,Capacitance,Length,0
677,Energy level,Absorption spectroscopy,0
678,Acceleration,Photoelectric effect,0
679,Strength of materials,Hardness,0
680,Wave,Force,0
681,Electron,Contact force,0
682,Friction,Electron,0
683,Electromagnetic radiation,Electric field,1
684,Distance,Electric potential,0
685,Gravity of Earth,Euclidean vector,1
686,Magnetism,Le Sage's theory of gravitation,0
687,Snell's law,Wave,1
688,Ray (optics),Snell's law,0
689,Light,Mirror image,0
690,Displacement (vector),Physics,1
691,Velocity,Gravity of Earth,0
692,Refracting telescope,Wave,1
693,Position (vector),Euclidean vector,1
694,Hooke's law,Torque,0
695,Crest (physics),Physics,1
696,Field (physics),Electromotive force,0
697,Angle of incidence,Total internal reflection,0
698,Gravitational acceleration,Energy,0
699,Inertial frame of reference,Physics,1
700,Pigment,Color,1
701,Magnetism,Capacitance,0
702,Wavelength,Snell's law,0
703,Euclidean vector,Position (vector),0
704,Rarefaction,Wave,1
705,Distance,Acceleration,0
706,Electric potential energy,Force,1
707,Electric potential energy,Electric potential,0
708,Electron,Electromotive force,0
709,Hardness,Kilogram,0
710,Electrical conductor,Electrical resistance and conductance,0
711,Elastic collision,Collision,1
712,Physics,Reflection (physics),0
713,Newton's law of universal gravitation,Electric field,0
714,Emission spectrum,Wavelength,1
715,Snell's law,Ray (optics),1
716,Sound intensity,Distance,0
717,Friction,Force,1
718,Friction,Hardness,0
719,Transmission medium,Wave,1
720,Deformation (engineering),Plasticity (physics),0
721,Tangential and normal components,Euclidean vector,0
722,Magnetic field,Mass,0
723,Force,Tension (physics),0
724,Electron,Field line,0
725,Light,Photoelectric effect,0
726,Speed,Magnetism,0
727,Energy,Elastic collision,0
728,Friction,Temperature,0
729,Torque,Gravity,0
730,Capacitor,Insulator (electricity),0
731,Power (physics),Physics,1
732,Electric current,Electromagnetic radiation,0
733,Scalar (mathematics),Distance,0
734,Fracture,Hardness,0
735,Electromotive force,Force,1
736,Magnetic field,Wave,0
737,Wave,Motion,0
738,Velocity,Work (physics),0
739,Friction,Torque,0
740,Speed,Distance,1
741,Amplitude,Standing wave,0
742,Electromagnetic spectrum,Wave,1
743,Physics,Electromagnetic radiation,0
744,Speed,Physics,1
745,Coulomb's law,Coulomb,0
746,Dielectric,Electromagnetic spectrum,0
747,Electrostatics,Energy,1
748,Hooke's law,Deformation (engineering),1
749,Wave,Magnet,0
750,Energy,Creep (deformation),0
751,Electromotive force,Magnet,1
752,Electrostatics,Work (physics),1
753,Speed,Magnet,0
754,Electric field,Coulomb's law,1
755,Frequency,Hooke's law,0
756,Physics,Electrical conductor,0
757,Wave,Photoelectric effect,0
758,Electroscope,Coulomb's law,0
759,Energy,Mass,0
760,Ray (optics),Diffraction,0
761,Frequency,Metre,0
762,Speed,Equations of motion,0
763,Creep (deformation),Deformation (engineering),1
764,Wavelength,Speed,0
765,Motion,Mechanical energy,0
766,Speed,Projectile motion,0
767,Wavelength,Absorption spectroscopy,0
768,Mass,Wavelength,0
769,Motion,Projectile motion,0
770,Shock wave,Physics,1
771,Energy,Dispersion (optics),0
772,Physics,Friction,0
773,Specular reflection,Physics,1
774,Electromagnetic spectrum,Force,1
775,Speed,Elastic collision,0
776,Projectile motion,Position (vector),1
777,Electromotive force,Electric potential,0
778,Mechanical energy,Displacement (vector),1
779,Ohm,Velocity,0
780,Sonic boom,Speed,0
781,Gravity,Gravitational constant,0
782,Distance,Gravitational constant,0
783,Wave,Absorption spectroscopy,0
784,Electromagnetic spectrum,Electromagnetic radiation,1
785,Force,Gravity of Earth,0
786,Mass,Kilogram,0
787,Acceleration,Free fall,0
788,Electromotive force,Energy,1
789,Electron,Emission spectrum,0
790,Electron,Capacitance,0
791,Distance,Length,0
792,Force,Lever,0
793,Displacement (vector),Acceleration,0
794,Emission spectrum,Field (physics),1
795,Scalar (mathematics),Euclidean vector,0
796,Energy,Magnet,0
797,Magnetic field,Electromagnetic spectrum,0
798,Electrostatics,Force,1
799,Interference (wave propagation),Geometrical optics,0
800,Amplitude,Frequency,0
801,Specular reflection,Ray (optics),1
802,Equations of motion,Displacement (vector),1
803,Relative velocity,Physics,1
804,Voltage,Ohm,0
805,Free fall,Normal force,0
806,Plane mirror,Reflection (physics),0
807,Physics,Transverse wave,0
808,Work (physics),Resultant force,0
809,Electroscope,Voltage,0
810,Physics,Dielectric,0
811,Free fall,Euclidean vector,1
812,Emission spectrum,Collision,0
813,Electromotive force,Electrical resistance and conductance,0
814,Electron,Joule,0
815,Free fall,Motion,1
816,Wave,Refracting telescope,0
817,Displacement (vector),Equations of motion,0
818,Acceleration,Physics,1
819,Motion,Distance,0
820,Field line,Coulomb's law,0
821,Photoelectric effect,Electroscope,0
822,Plasticity (physics),Elasticity (physics),0
823,Refraction,Ray (optics),0
824,Force,Motion,0
825,Scattering,Physics,1
826,Refraction,Wave,1
827,Reflection (physics),Physics,1
828,Creep (deformation),Temperature,0
829,Hooke's law,Elasticity (physics),1
830,Speed,Sound intensity,0
831,Scattering,Collision,0
832,Equations of motion,Gravitational field,0
833,Work (physics),Kinetic energy,0
834,Physics,Le Sage's theory of gravitation,0
835,Refraction,Reflection (physics),0
836,Kinetic energy,Velocity,0
837,Energy,Field (physics),0
838,Electron,Motion,0
839,Speed,Field (physics),0
840,Field (physics),Magnetic field,0
841,Speed,Refractive index,0
842,Ohm,Kilogram,0
843,Physics,Crest (physics),0
844,Frame of reference,Motion,1
845,Dielectric,Temperature,0
846,Hooke's law,Temperature,0
847,Euclidean vector,Projectile motion,0
848,Acceleration,Relative velocity,0
849,Euclidean vector,Motion graphs and derivatives,0
850,Physics,Relative velocity,0
851,Electromagnetic radiation,Temperature,0
