,concept,key_terms
75,Lever,second-class lever|third-class lever|fulcrum|levers|first-class lever|lever
76,Shock wave,shock wave
77,Distance,distance
78,Electron,electron
79,Metre,metre|meter
80,Stiffness,torsional rigidity|stiffness|compliance|flexibility
81,Non-inertial reference frame,non-inertial frame of reference|accelerated reference frame|non-inertial frame|non inertial frame|non-inertial frames of reference|non-inertial reference frame|noninertial frame|noninertial reference frames|accelerated frame
82,Plane mirror,plane mirror|flat mirror
83,Gravitational field,gravitational field|gravitation field|gravitational fields|newtonian gravitational field
84,Collision,collision|collisions|colliding
85,Magnetism,magnetic|magnetism
86,Tangential and normal components,perpendicular component|parallel component|tangential and normal components|paralel component|normal component|tangential component|tangent component
87,Electromagnetic radiation,electromagnetic radiation|em radiation|electromagnectic radiation
88,Subtractive color,subtractive colour|subtractive color
89,Capacitance,capacitance
90,Specular reflection,specular|specular reflection|regular reflection|the law of reflection|law of reflection|specularly reflected|specular refrector
91,Deformation (engineering),deformation
92,Joule,joule|joules
93,Electromagnetic spectrum,em spectrum|electrocmagnetic spectrum|electro magnetic spectrum|stellar specta|electromagentic spectra|electro-magnetic spectrum|ir spectrum|electromagnetic spectrum|electomagnetic spectrum
94,Displacement (vector),displacement
95,Electric charge,electrical charge|negatively charged|electrification by friction|electric charges|positive static charge|charge|electrically charged|positive charge|specific charge|positive electricity|electrically neutral|electric polarity|electrostatic charge|negative charge|positively charged|electric charge|elementary electrostatic charge|q
96,Mirror image,mirror image|mirror images|mirror plane of symmetry|mirror reflection
97,Pigment,pigment|pigments
98,Tension (physics),slackening|slackened|slacken|tensility|unbalanced force|slackens|slackener|tension|tensile|uniaxial tension|slackeners|unbalanced forces|tensile force
99,Refractive index,index of refraction|refractive indices|refracting index|refractive index|complex refractive index|optical extinction coefficient|refraction index|refractivity|negative index of refraction|absolute refractive index|complex index of refraction
100,Physical quantity,physical quantity|physical quantities
101,Direction (geometry),direction
102,Planet,major planets|planet|planets|planetary mass object
103,Scalar (mathematics),scalar
104,Temperature,temperature
105,Electrostatics,electrostatic repulsion|electrostatic interactions|charge-charge interaction|electrostatic|coulombic attraction|static eliminator|classical electrostatics|electrostatics
106,Kilogram,milligram|kilograms|kilogram|kg
107,Energy,energy
108,Equations of motion,suvat equations|vuxat|uvast|equations of motion|rotational form|formulas for constant acceleration|davtu equations|equation of motion|vusat|suvat|vuxat equations|uniformly accelerated motion|davtu|vusat equations|motion equation
109,Dispersion (optics),disperion|dispersion
110,Ray (optics),ray
111,Fatigue (material),fatigue
112,Ohm,ohm
113,Friction,friction
114,Phase velocity,phase velocity vector|phase velocity
115,Projectile motion,projectile motion
116,Power (physics),power
117,Reflection (physics),reflection
118,Euclidean vector,euclidean vector|euclidian vector|vector
119,Free fall,free fall|freefall|free-falling
120,Electrical conductor,conductor|electrical conductor
121,Transmission medium,transmission media|transmission medium
122,Field (physics),field
123,Interference (wave propagation),interference
124,Field line,field line|field lines|fieldline
125,Crest (physics),crest|wave crest|trough
126,Electrical resistance and conductance,resistive|electrical resistance and conductance|electric resistance|electrical-resistance|resistance|electrical resistance & conductance|resistance in wires|ac resistance|electrical resistence|electrical resistance|electrical conductance|electric conductance|electric resistnace
127,Acceleration,acceleration
128,Gravitational constant,gravitation constant|newtonian gravitational constant|grav const|universal gravitational constant|gravity's constant|constant of gravity|newtonian constant|newton constant|newton's universal gravitation constant|newton's constant|gravity constant|gravitational constant|newtonian constant of gravitation|constant of gravitation
129,Length,length
130,Gravity of Earth,gravity of earth|earth's gravity|earths gravity|little g|earths gravitation force|gravity earth|gravity|earth's gravitation|earth gravity|earth’s gravity|gravity on earth
131,Ohmmeter,measure resistance|resistance measurment|ohmmeter
132,Musical tone,tone|musical tone
133,Frame of reference,frame of reference
134,Ohm's law,ohm's law|ohm’s law
135,Pitch (music),pitch
136,Compass,magnetic compass|compass
137,Capacitor,capacitor|capacitance
138,Resultant force,total force|net force|resultant force
139,Motion,motion
140,Voltmeter,measure voltage|voltmeter|voltage measurment
141,Series and parallel circuits,parallel circuit|circuit in series|circuit in parallel|series and parallel circuits|series circuit
142,Kinetic energy,k.e.|ke|kinetic energy
143,Curved mirror,concave mirror|spherical mirror|curved mirror|convex mirror
144,Physics,physics
145,Free body diagram,free body diagram|fbd
146,Electric current,current|electric current
147,Ammeter,measure current|current measurment|ammeter
148,Magnification,magnification
149,Scalar multiplication,scalar product|dot product|dot multiplication|scalar multiplication
150,Compression (physics),compression
151,Total internal reflection,tir|total internal reflection
