,Unnamed: 0,section,title,page_no,content,tagged_content
43,43,4.9,HL Triangle Congruence,214,Here youll learn how to prove that right triangles are congruent given the length of only their hypotenuses and one of their legs. What if you were given two right triangles and provided with only the measure of their hypotenuses and one of their legs? How could you determine if the two right triangles were congruent? After completing this Concept youll be able to use the Hypotenuse-Leg (HL) shortcut to prove right triangles are congruent. Recall that right triangle has exactly one right angle. The two sides adjacent to the right angle are called legs and the side opposite the right angle is called the hypotenuse. The Pythagorean Theorem says for any right triangle (leg) (leg) (hypotenuse) What this means is that if you are given two sides of right triangle you can always find the third. Therefore if you know that two sides of right triangle are congruent to two sides of another right triangle you can conclude that third sides are also congruent. HL Triangle Congruence Theorem: If the hypotenuse and leg in one right triangle are congruent to the hypotenuse and leg in another right triangle then the two triangles are congruent. The markings in the picture are enough to say 4ABC 4XY Z. Notice that this theorem is only used with hypotenuse and leg. If you know that the two legs of right triangle are congruent to two legs of another triangle the two triangles would be congruent by SAS because the right angle would be between them. Two figures are congruent if they have exactly the same size and shape. By definition two triangles are congruent if the three corresponding angles and sides are congruent. The symbol means congruent. There are shortcuts for proving that triangles are congruent. The HL Triangle Congruence Theorem states that if the hypotenuse and leg in one right triangle are congruent to the hypotenuse and leg in another right triangle then the two triangles are congruent. right triangle has exactly one right (90 angle. The two sides adjacent to the right angle are called legs and the side opposite the right angle is called the hypotenuse. HL can only be used with right triangles. ,Right triangle|Right triangle|Right triangle|Right triangle|Right triangle|Right triangle|Right triangle|Right triangle|Right triangle|Right triangle|Right triangle|Right triangle|Right triangle|Right triangle|Right triangle|Right triangle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Congruence (geometry)|Congruence (geometry)|Right angle|Right angle|Right angle|Right angle|Right angle|Right angle|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Special right triangles|Transversal (geometry)|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Pythagorean theorem
44,44,4.10,Isosceles Triangles,220,Here youll learn the definition of an isosceles triangle as well as two theorems about isosceles triangles. What if you were presented with an isoceles triangle and told that its base angles measure and What could you conclude about and y? After completing this Concept youll be able to apply important properties about isoceles triangles to help you solve problems like this one. An isosceles triangle is triangle that has at least two congruent sides. The congruent sides of the isosceles triangle are called the legs. The other side is called the base and the angles between the base and the congruent sides are called base angles. The angle made by the two legs of the isosceles triangle is called the vertex angle. Investigation: Isosceles Triangle Construction Tools Needed: pencil paper compass ruler protractor 1. Using your compass and ruler draw an isosceles triangle with sides of in in and in. Draw the in side (the base) horizontally inches from the top of the page. 2. Now that you have an isosceles triangle use your protractor to measure the base angles and the vertex angle. The base angles should each be We can generalize this investigation into the Base Angles Theorem. Base Angles Theorem: The base angles of an isosceles triangle are congruent. To prove the Base Angles Theorem we will construct the angle bisector through the vertex angle of an isosceles triangle. By constructing the angle bisector EG we designed two congruent triangles and then used CPCTC to show that the base angles are congruent. Now that we have proven the Base Angles Theorem you do not have to construct the angle bisector every time. It can now be assumed that base angles of any isosceles triangle are always equal. Lets further analyze the picture from step of our proof. Because 4DEG 4FEG we know that EGD EGF by CPCTC. Thes two angles are also linear pair so they are congruent supplements or 90 each. Therefore EGDF. Additionally DG GF by CPCTC so is the midpoint of DF. This means that EG is the perpendicular bisector of DF in addition to being the angle bisector of DEF. Isosceles Triangle Theorem: The angle bisector of the vertex angle in an isosceles triangle is also the perpendicular bisector to the base. The converses of the Base Angles Theorem and the Isosceles Triangle Theorem are both true. Base Angles Theorem Converse: If two angles in triangle are congruent then the opposite sides are also congruent. So for triangle 4ABC if then CB CA. would be the vertex angle. Isosceles Triangle Theorem Converse: The perpendicular bisector of the base of an isosceles triangle is also the angle bisector of the vertex angle. An isosceles triangle is triangle that has at least two congruent sides. The congruent sides of the isosceles triangle are called the legs. The other side is called the base. The angles between the base and the legs are called base angles. The angle made by the two legs is called the vertex angle. ,Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Congruence (geometry)|Congruence (geometry)|Midpoint|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Isosceles triangle|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Perpendicular|Perpendicular|Perpendicular|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle
45,45,4.11,Equilateral Triangles,227,Here youll learn the definition of an equilateral triangle as well as an important theorem about equilateral triangles. What if your parents want to redo the bathroom? Below is the tile they would like to place in the shower. The blue and green triangles are all equilateral. What type of polygon is dark blue outlined figure? Can you determine how many degrees are in each of these figures? Can you determine how many degrees are around point? After completing this Concept youll be able to apply important properties about equilateral triangles to help you solve problems like this one. By definition all sides in an equilateral triangle have exactly the same length. Investigation: Constructing an Equilateral Triangle Tools Needed: pencil paper compass ruler protractor 1. Because all the sides of an equilateral triangle are equal pick length to be all the sides of the triangle. Measure this length and draw it horizontally on your paper. 2. Put the pointer of your compass on the left endpoint of the line you drew in Step 1. Open the compass to be the same width as this line. Make an arc above the line. 3. Repeat Step on the right endpoint. 4. Connect each endpoint with the arc intersections to make the equilateral triangle. Use the protractor to measure each angle of your constructed equilateral triangle. What do you notice? From the Base Angles Theorem the angles opposite congruent sides in an isosceles triangle are congruent. So if all three sides of the triangle are congruent then all of the angles are congruent or 60 each. Equilateral Triangles Theorem: All equilateral triangles are also equiangular. Also all equiangular triangles are also equilateral. Concept Problem Revisited Lets focus on one tile. First these triangles are all equilateral so this is an equilateral hexagon (6 sided polygon). Second we now know that every equilateral triangle is also equiangular so every triangle within this tile has 360 angles. This makes our equilateral hexagon also equiangular with each angle measuring 120 Because there are angles the sum of the angles in hexagon are 6.120 or 720 Finally the point in the center of this tile has 660 angles around it. That means there are 360 around point. Vocabulary An isosceles triangle is triangle that has at least two congruent sides. The congruent sides of the isosceles triangle are called the legs. The other side is called the base. The angles between the base and the legs are called base angles and are always congruent by the Base Angles Theorem. The angle made by the two legs is called the vertex angle. An equilateral triangle is triangle with three congruent sides. Equiangular means all angles are congruent. All equilateral triangles are equiangular. ,Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Congruence (geometry)|Polygon|Polygon|Equilateral triangle|Hexagon|Hexagon|Hexagon|Tessellation|Tessellation|Tessellation|Tessellation|Line (geometry)|Line (geometry)|Line (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Vertex (geometry)|Isosceles triangle|Isosceles triangle|Isosceles triangle|Arc (geometry)|Arc (geometry)|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle
46,46,5,Triangle Relationships,235,This chapter introduces different segments within triangles and how they relate to each other. We will explore the properties of midsegments perpendicular bisectors angle bisectors medians and altitudes. Next we will look at the relationship of the sides of triangle how they relate to each other and how the sides of one triangle can compare to another. ,Angle|Angle bisector theorem|Altitude (triangle)|Line segment|Bisection|Bisection|Perpendicular|Triangle|Triangle|Triangle
47,47,5.1,Midsegment Theorem,236,Here youll learn what midsegment is and how midsegments in triangles relate to the triangles. What if you created repeated design using the same shape (or shapes) of different sizes? This would be called fractal. Below is an example of the first few steps of one. What does the next figure look like? How many triangles are in each figure (green and white triangles)? Is there pattern? After completing this Concept youll be able to better understand how these fractals are created. midsegment is line segment that connects two midpoints of adjacent sides of triangle. For every triangle there are three midsegments. The Midsegment Theorem states that the midsegment of triangle is half the length of the side it is parallel to. Concept Problem Revisited To the left is picture of the th figure in the fractal pattern. The number of triangles in each figure is 13 and 40. The pattern is that each term increase by the next power of 3. line segment that connects two midpoints of the sides of triangle is called midsegment. midpoint is point that divides segment into two equal pieces. Two lines are parallel if they never intersect. Parallel lines have slopes that are equal. In triangle midsegments are always parallel to one side of the triangle. ,Slope|Congruence (geometry)|Congruence (geometry)|Polygon|Grade (slope)|Midpoint|Midpoint|Midpoint|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Point (geometry)|Line segment|Line segment|Line segment|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Parallel (geometry)|Parallel (geometry)|Parallel (geometry)|Parallel (geometry)
48,48,5.2,Perpendicular Bisectors,243,Here youll learn what perpendicular bisector is and the Perpendicular Bisector Theorem which states that if point is on the perpendicular bisector of segment then it is equidistant from the endpoints of the segment. What if an archeologist found three bones in Cairo Egypt buried meters meters and meters apart (to form triangle)? The likelihood that more bones are in this area is very high. The archeologist wants to dig in an appropriate circle around these bones. If these bones are on the edge of the digging circle where is the center of the circle? Can you determine how far apart each bone is from the center of the circle? What is this length? After completing this Concept youll be able to answer questions like these Recall that perpendicular bisector intersects line segment at its midpoint and is perpendicular. Lets analyze this figure. CD is the perpendicular bisector of AB. If we were to draw in AC and CB we would find that they are equal. Therefore any point on the perpendicular bisector of segment is the same distance from each endpoint. Perpendicular Bisector Theorem: If point is on the perpendicular bisector of segment then it is equidistant from the endpoints of the segment. In addition to the Perpendicular Bisector Theorem we also know that its converse is true. Perpendicular Bisector Theorem Converse: If point is equidistant from the endpoints of segment then the point is on the perpendicular bisector of the segment. Two lines intersect at point. If more than two lines intersect at the same point it is called point of concurrency. Investigation: Constructing the Perpendicular Bisectors of the Sides of Triangle Tools Needed: paper pencil compass ruler 1. Draw scalene triangle. 2. Construct the perpendicular bisector for all three sides. The three perpendicular bisectors all intersect at the same point called the circumcenter. Circumcenter: The point of concurrency for the perpendicular bisectors of the sides of triangle. 3. Erase the arc marks to leave only the perpendicular bisectors. Put the pointer of your compass on the circumcenter. Open the compass so that the pencil is on one of the vertices. Draw circle. What happens? The circumcenter is the center of circle that passes through all the vertices of the triangle. We say that this circle circumscribes the triangle. This means that the circumcenter is equidistant to the vertices. Concurrency of Perpendicular Bisectors Theorem: The perpendicular bisectors of the sides of triangle intersect in point that is equidistant from the vertices. If PC QC and RC are perpendicular bisectors then LC MC OC. Concept Problem Revisited The center of the circle will be the circumcenter of the triangle formed by the three bones. Construct the perpen- dicular bisector of at least two sides to find the circumcenter. After locating the circumcenter the archeologist can measure the distance from each bone to it which would be the radius of the circle. This length is approximately 4.7 meters. Vocabulary Perpendicular lines are lines that meet at right (90 angles. midpoint is the point on segment that divides the segment into two equal parts. perpendicular bisector is line that intersects line segment at its midpoint and is perpendicular to that line segment. When we construct perpendicular bisectors for the sides of triangle they meet in one point. This point is called the circumcenter of the triangle. ,Angle|Angle|Angle|Angle|Angle|Congruence (geometry)|Congruence (geometry)|Distance|Distance|Distance|Distance|Distance|Distance|Distance|Edge (geometry)|Circle|Circle|Circle|Circle|Circle|Circle|Circle|Circle|Circle|Radius|Midpoint|Midpoint|Midpoint|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Arc (geometry)|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle
49,49,5.3,Angle Bisectors in Triangles,250,Here youll learn what an angle bisector is as well as the Angle Bisector Theorem which states that if point is on the bisector of an angle then the point is equidistant from the sides of the angle. What if the cities of Verticville Triopolis and Angletown were joining their city budgets together to build centrally located airport? There are freeways between the three cities and they want to have the freeway on the interior of these freeways. Where is the best location to put the airport so that they have to build the least amount of road? In the picture below the blue lines are the proposed roads. After completing this Concept youll be able to use angle bisectors to help answer this question. Recall that an angle bisector cuts an angle exactly in half. Lets analyze this figure. BD is the angle bisector of ABC. Looking at point if we were to draw ED and DF we would find that they are equal. Recall that the shortest distance from point to line is the perpendicular length between them. ED and DF are the shortest lengths between which is on the angle bisector and each side of the angle. Angle Bisector Theorem: If point is on the bisector of an angle then the point is equidistant from the sides of the angle. In other words if BD bisects ABC BEED and BFDF then ED DF. The converse of this theorem is also true. Angle Bisector Theorem Converse: If point is in the interior of an angle and equidistant from the sides then it lies on the bisector of the angle. Because the Angle Bisector Theorem and its converse are both true we have biconditional statement. We can put the two conditional statements together using if and only if. point is on the angle bisector of an angle if and only if it is equidistant from the sides of the triangle. Investigation: Constructing Angle Bisectors in Triangles Tools Needed: compass ruler pencil paper 1. Draw scalene triangle. Construct the angle bisector of each angle. Use Investigation 1-4 and from the Review Queue to help you. Incenter: The point of concurrency for the angle bisectors of triangle. 2. Erase the arc marks and the angle bisectors after the incenter. Draw or construct the perpendicular lines to each side through the incenter. 3. Erase the arc marks from and the perpendicular lines beyond the sides of the triangle. Place the pointer of the compass on the incenter. Open the compass to intersect one of the three perpendicular lines drawn in 2. Draw circle. Notice that the circle touches all three sides of the triangle. We say that this circle is inscribed in the triangle because it touches all three sides. The incenter is on all three angle bisectors so the incenter is equidistant from all three sides of the triangle. Concurrency of Angle Bisectors Theorem: The angle bisectors of triangle intersect in point that is equidistant from the three sides of the triangle. If AG BG and GC are the angle bisectors of the angles in the triangle then EG GF GD. In other words EG FG and DG are the radii of the inscribed circle. Concept Problem Revisited The airport needs to be equidistant to the three highways between the three cities. Therefore the roads are all perpendicular to each side and congruent. The airport should be located at the incenter of the triangle. Vocabulary An angle bisector cuts an angle exactly in half. Equidistant means the same distance from. point is equidistant from two lines if it is the same distance from both lines. When we construct angle bisectors for the angles of triangle they meet in one point. This point is called the incenter of the triangle. ,Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Congruence (geometry)|Distance|Distance|Distance|Distance|Distance|Distance|Distance|Distance|Distance|Distance|Distance|Distance|Circle|Circle|Circle|Circle|Radius|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Arc (geometry)|Arc (geometry)|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle
50,50,5.4,Medians,256,Here youll learn the definitions of median and centroid and how to apply them. What if your art teacher assigned an art project involving triangles? You decide to make series of hanging triangles of all different sizes from one long piece of wire. Where should you hang the triangles from so that they balance horizontally? You decide to plot one triangle on the coordinate plane to find the location of this point. The coordinates of the vertices are (0 0) (6 12) and (18 0). What is the coordinate of this point? After completing this Concept youll be able to use medians to help you answer these questions. median is the line segment that joins vertex and the midpoint of the opposite side (of triangle). The three medians of triangle intersect at one point just like the perpendicular bisectors and angle bisectors. This point is called the centroid and is the point of concurrency for the medians of triangle. Unlike the circumcenter and incenter the centroid does not have anything to do with circles. It has different property. Investigation: Properties of the Centroid Tools Needed: pencil paper ruler compass 1. Construct scalene triangle with sides of length cm 10 cm and 12 cm (Investigation 4-2). Use the ruler to measure each side and mark the midpoint. 2. Draw in the medians and mark the centroid. Measure the length of each median. Then measure the length from each vertex to the centroid and from the centroid to the midpoint. Do you notice anything? 3. Cut out the triangle. Place the centroid on either the tip of the pencil or the pointer of the compass. What happens? From this investigation we have discovered the properties of the centroid. They are summarized below. Concurrency of Medians Theorem: The medians of triangle intersect in point that is two-thirds of the distance from the vertices to the midpoint of the opposite side. The centroid is also the balancing point of triangle. If is the centroid then we can conclude: In addition to these ratios is also the balance point of 4ACE. This means that the triangle will balance when placed on pencil at this point. Concept Problem Revisited The point that you should put the wire through is the centroid. That way each triangle will balance on the wire. The triangle that we wanted to plot on the plane is to the right. Drawing all the medians it looks like the centroid is (8 4). To verify this you could find the equation of two medians and set them equal to each other and solve for x. Two equations are and 4x 36. Setting them equal to each other we find that and then 4. Vocabulary median is the line segment that joins vertex and the midpoint of the opposite side in triangle. midpoint is point that divides segment into two equal pieces. centroid is the point of intersection for the medians of triangle. ,Coordinate system|Coordinate system|Coordinate system|Angle|Angle|Angle|Congruence (geometry)|Congruence (geometry)|Congruence (geometry)|Distance|Circle|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Line (geometry)|Line (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Plane (geometry)|Plane (geometry)|Angle bisector theorem|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Line segment|Line segment|Line segment|Bisection|Bisection|Two-dimensional space|Perpendicular|Cartesian coordinate system|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle
51,51,5.5,Altitudes,262,Here youll learn the definition of altitude and how to determine where triangles altitude will be found. What if you were given one or more of triangles angle measures? How would you determine where the triangles altitude would be found? After completing this Concept youll be able to answer this type of question. An altitude is line segment in triangle from vertex and perpendicular to the opposite side it is also known as the height of triangle. All of the red lines are examples of altitudes: As you can see an altitude can be side of triangle or outside of the triangle. When triangle is right triangle the altitude or height is the leg. To construct an altitude construct perpendicular line through point not on the given line. Think of the vertex as the point and the given line as the opposite side. Investigation: Constructing an Altitude for an Obtuse Triangle Tools Needed: pencil paper compass ruler 1. Draw an obtuse triangle. Label it 4ABC like the picture to the right. Extend side AC beyond point A. 2. Construct perpendicular line to AC through B. The altitude does not have to extend past side AC as it does in the picture. Technically the height is only the vertical distance from the highest vertex to the opposite side. As was true with perpendicular bisectors angle bisectors and mediansthe altitudes of triangle are also concurrent. Unlike the other three the point does not have any special properties. Orthocenter: The point of concurrency for the altitudes of triangle. Here is what the orthocenter looks like for the three triangles. It has three different locations much like the perpendicular bisectors. The altitude of triangle also known as the height is line segment from vertex and perpendicular to the opposite side. Perpendicular lines are lines that meet at right (90 angles. The orthocenter of triangle is the point of concurrency for the altitudes of triangle (the point where all of the altitudes meet). ,Right triangle|Angle|Angle|Angle|Angle|Distance|Special right triangles|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Angle bisector theorem|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Altitude (triangle)|Line segment|Line segment|Bisection|Bisection|Bisection|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle
52,52,5.6,Comparing Angles and Sides in Triangles,268,Here youll learn how to compare sides and angles in triangles. Specifically youll learn how to order the angles of triangle from largest to smallest based on the length of their opposite sides. What if two mountain bikers leave from the same parking lot and head in opposite directions on two different trails? The first rider goes miles due west then rides due south for 15 miles. The second rider goes miles due east then changes direction and rides 20 east of due north for 17 miles. Both riders have been traveling for 23 miles but which one is further from the parking lot? After completing this Concept you will be able to compare triangles in order to answer questions like this one. Look at the triangle below. The sides of the triangle are given. Can you determine which angle is the largest? As you might guess the largest angle will be opposite 18 because it is the longest side. Similarly the smallest angle will be opposite the shortest side 7. Therefore the angle measure in the middle will be opposite 13. Theorem: If one side of triangle is longer than another side then the angle opposite the longer side will be larger than the angle opposite the shorter side. Converse: If one angle in triangle is larger than another angle in triangle then the side opposite the larger angle will be longer than the side opposite the smaller angle. We have two congruent triangles 4ABC and 4DEF marked below: Therefore if AB DE and BC EF and then AC DF. Now lets adjust E. Would that make AC DF? Yes. See the picture below. The SAS Inequality Theorem (Hinge Theorem): If two sides of triangle are congruent to two sides of another triangle but the included angle of one triangle has greater measure than the included angle of the other triangle then the third side of the first triangle is longer than the third side of the second triangle. SSS Inequality Theorem (also called the Converse of the Hinge Theorem): If two sides of triangle are congruent to two sides of another triangle but the third side of the first triangle is longer than the third side of the second triangle then the included angle of the first triangle is greater in measure than the included angle of the second triangle Even though the two sets of lengths are not equal they both add up to 23. Therefore the second rider is further away from the parking lot because 110 90 Vocabulary The Triangle Sum Theorem states that the three angles in triangle always add up to 180 The median in triangle connects the midpoint of one side to the opposite vertex. An isosceles triangle is triangle with at least two congruent sides. ,Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Congruence (geometry)|Congruence (geometry)|Midpoint|Vertex (geometry)|Isosceles triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle
53,53,5.7,Triangle Inequality Theorem,274,Here youll learn the Triangle Inequality Theorem which will help you to determine whether three side lengths will create triangle or not. What if you had to determine whether the three lengths and 10 make triangle? After completing this Concept youll be able to use the Triangle Inequality Theorem to determine if any three side lengths make triangle. Can any three lengths make triangle? The answer is no. There are limits on what the lengths can be. For example the lengths cannot make triangle because so they would all lie on the same line. The lengths 10 also cannot make triangle because 9. The arc marks show that the two sides would never meet to form triangle. The Triangle Inequality Theorem states that the sum of the lengths of any two sides of triangle must be greater than the length of the third. The Triangle Inequality Theorem can also help you find the range of the third side. The two given sides are and 10 so the third side can either be the shortest side or the longest side. For example could be because 10. It could also be 15 because 10 15. Therefore the range of values for is 16. Notice the range is no less than and not equal to 4. The third side could be 4.1 because 4.1 10. For the same reason cannot be greater than 16 but it could 15.9 10 15.9. The three lengths and 10 do make triangle. The sum of the lengths of any two sides is greater than the length of the third. Vocabulary An isosceles triangle is triangle with two congruent sides. The congruent sides are called the legs and the third side is called the base. The Triangle Inequality Theorem states that to make triangle two sides must add up to be greater than the third side. ,Triangle inequality|Triangle inequality|Triangle inequality|Triangle inequality|Triangle inequality|Congruence (geometry)|Line (geometry)|Isosceles triangle|Arc (geometry)|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle|Triangle
54,54,5.8,Indirect Proof in Algebra and Geometry,277,Here youll learn how to write indirect proofs or proofs by contradiction by assuming hypothesis is false. What if you know something is true but cannot figure out how to prove it directly? After completing this Concept youll be able to indirectly prove statement by way of contradiction. Until now we have proved theorems true by direct reasoning where conclusions are drawn from series of facts and previously proven theorems. However we cannot always use direct reasoning to prove every theorem. Indirect Proof or Proof by Contradiction: When the conclusion from hypothesis is assumed false (or opposite of what it states) and then contradiction is reached from the given or deduced statements. In other words if you are trying to show that something is true show that if it was not true there would be contradiction (something else would not make sense). The steps to follow when proving indirectly are: Assume the opposite of the conclusion (second half) of the statement. Proceed as if this assumption is true to find the contradiction. Once there is contradiction the original statement is true. DO NOT use specific examples. Use variables so that the contradiction can be generalized. The easiest way to understand indirect proofs is by example. An Indirect Proof or Proof by Contradiction is method of proof where the conclusion from hypothesis is assumed to be false (or opposite of what it states) and then contradiction is reached from the given or deduced statements. ,
55,55,6,Polygons and Quadrilaterals,281,This chapter starts with the properties of polygons and narrows to focus on quadrilaterals. We will study several different types of quadrilaterals: parallelograms rhombi rectangles squares kites and trapezoids. Then we will prove that different types of quadrilaterals are parallelograms or something more specific. ,Kite (geometry)|Polygon|Rectangle|Trapezoid|Parallelogram|Parallelogram|Square|Rhombus
