,topic_a,topic_b,relation
68,Secant line,Asymptote,0
69,Polynomial long division,Multiplication,1
70,Law of sines,Sine,1
71,Addition,Negative number,0
72,Constant function,Even and odd functions,0
73,Set (mathematics),Number,0
74,Division (mathematics),Partial fraction decomposition,0
75,Geometry,Circular sector,0
76,Linear equation,Quadratic equation,0
77,Scalar (mathematics),Vector (mathematics and physics),1
78,Mathematics,Degree of a polynomial,0
79,Multiplication,Rational number,0
80,Line (geometry),Radius,0
81,Linear equation,Mathematics,1
82,Orientation (geometry),Mathematics,1
83,Mathematics,Continuous function,0
84,Logarithm,Slope,0
85,Perpendicular,Angle,1
86,Algebra,Mathematics,1
87,Scientific notation,Real number,0
88,Real line,Geometry,1
89,Mathematics,Polygon,0
90,Position (vector),Vector (mathematics and physics),1
91,Floor and ceiling functions,Division (mathematics),0
92,Binomial,Minor (linear algebra),0
93,Right triangle,Polygon,1
94,Mathematics,Sine wave,0
95,Binomial coefficient,Multiplication,1
96,Sine,Law of sines,0
97,Multiplicative inverse,Multiplication,1
98,Scalar multiplication,Scalar (mathematics),1
99,Polynomial,Circle,0
100,Function (mathematics),Nth root,0
101,Addition,Commutative property,0
102,Division (mathematics),Multiplication,0
103,Addition,Binary logarithm,0
104,Arithmetic,Algebraic expression,0
105,Conic section,Mathematics,1
106,Arithmetic,Homogeneous polynomial,0
107,Addition,Linear inequality,0
108,Trigonometric functions,Inverse trigonometric functions,0
109,Arithmetic,Exponentiation,0
110,Coordinate system,Complex number,0
111,Secant line,Curve,1
112,Right angle,Geometry,1
113,Unit circle,Nth root,0
114,Polygon,Law of sines,0
115,Triangular matrix,Mathematics,1
116,Force,Mathematics,0
117,Polygon,Right triangle,0
118,Function (mathematics),Image (mathematics),0
119,Geometry,Vector (mathematics and physics),0
120,Analytic geometry,Cartesian coordinate system,1
121,Vector (mathematics and physics),Euclidean vector,0
122,Quadratic equation,Quadratic formula,0
123,Union (set theory),Empty set,0
124,Binomial,Binomial theorem,0
125,Multiplicative inverse,Mathematics,1
126,Complex number,Zero of a function,0
127,System of linear equations,Mathematics,1
128,Vector space,Scalar (mathematics),0
129,Natural logarithm,Arithmetic,1
130,Right triangle,Line (geometry),1
131,Linear equation,Cartesian coordinate system,0
132,Exponentiation,Multiplicative inverse,0
133,Spherical law of cosines,Geometry,1
134,Mathematics,Common logarithm,0
135,Multiplication,Binomial,0
136,Logarithm,Mathematics,1
137,Equation,Degree of a polynomial,0
138,Eccentricity (mathematics),Line (geometry),1
139,Geometry,System of linear equations,0
140,Equation,Equality (mathematics),1
141,Associative property,Commutative property,0
142,Exponential growth,Number,1
143,Number,Degree of a polynomial,0
144,Homogeneous polynomial,Mathematics,1
145,Unit circle,Integer,0
146,Geometry,Cylinder (geometry),0
147,Geometry,Polar coordinate system,0
148,Line (geometry),Real line,0
149,Negative number,Division (mathematics),0
150,Synthetic division,Degree of a polynomial,1
151,Main diagonal,Elementary matrix,0
152,Linear inequality,Calculus,1
153,Injective function,Function (mathematics),1
154,Number,Scalar multiplication,0
155,Geometry,Point (geometry),0
156,Exponentiation,Real number,0
157,Integer,Multiplicative inverse,0
158,Geometry,Pythagorean theorem,0
159,Arithmetic,Division (mathematics),0
160,Mathematics,Mereology,0
161,Parity (mathematics),Even and odd functions,0
162,Set (mathematics),Real number,0
163,Geometric series,Geometry,0
164,Mathematics,Cross product,0
165,Solution of triangles,Line (geometry),1
166,Exponentiation,Imaginary number,0
167,Series (mathematics),Calculus,1
168,Line (geometry),Ellipse,0
169,Empty sum,Addition,1
170,Dot product,Arithmetic,1
171,Equation,Quadratic formula,0
172,Algebraic expression,Square root,1
173,Quadratic formula,Polynomial,1
174,Origin (mathematics),Geometry,1
175,Union (set theory),Natural number,0
176,Multiplication,Function (mathematics),0
177,Addition,Polynomial long division,0
178,Addition,Mathematics,1
179,Mathematics,Algebraic equation,0
180,Matrix (mathematics),Triangular matrix,0
181,Logarithm,Number,1
182,Circle,Analytic geometry,0
183,Polynomial,Number,1
184,Exponential function,Mathematics,1
185,Range (mathematics),Graph of a function,0
186,Real number,Nth root,0
187,Even and odd functions,Mathematics,1
188,Trigonometry,Geometry,1
189,Number,Integer,0
190,Point (geometry),Radius,0
191,Quadratic formula,Equation,1
192,Focus (geometry),Ellipse,0
193,Polynomial,Function (mathematics),0
194,Coordinate system,Real number,0
195,System of linear equations,Equality (mathematics),1
196,Mathematics,Inverse trigonometric functions,0
197,Plane curve,Geometry,1
198,Line (geometry),Transformation (function),0
199,Function composition,Even and odd functions,0
200,Base (exponentiation),Arithmetic,1
201,Binomial,Arithmetic,1
202,Mathematics,Empty sum,0
203,Associative property,Function (mathematics),0
204,Scalar (mathematics),Vector space,1
205,Circle,Quadratic equation,0
206,Partial fraction decomposition,Multiplication,1
207,Function (mathematics),Equation solving,0
208,Universal quantification,Existential quantification,0
209,Square root,Set (mathematics),0
210,Addition,Multiplication,0
211,Descartes' rule of signs,Rational root theorem,0
212,Arithmetic,Common logarithm,0
213,Rectangle,Mathematics,1
214,Perpendicular,Focus (geometry),0
215,Triangular matrix,Matrix (mathematics),1
216,Exponentiation,Algebraic expression,0
217,Inverse trigonometric functions,Trigonometry,1
218,Integer,Binomial coefficient,0
219,Open set,Real number,0
220,Set (mathematics),Real line,0
221,Secant line,Slope,0
222,Number,Quadratic formula,0
223,Trigonometric functions,Trigonometric substitution,0
224,Unit circle,Complex number,0
225,Law of sines,Perpendicular,0
226,Polynomial long division,Degree of a polynomial,1
227,Logarithm,E (mathematical constant),0
228,Geometry,Line–line intersection,0
229,Mathematics,Simultaneous equations,0
230,Cylinder (geometry),Mathematics,1
231,Commutative property,Subtraction,0
232,Determinant,Minor (linear algebra),0
233,Inverse trigonometric functions,Geometry,1
234,Circle,Real line,0
235,Number,Exponentiation,0
236,Secant line,Derivative,0
237,Linear equation,Geometry,1
238,Multiplication,Linear inequality,0
239,Amplitude,Sine wave,0
240,Point (geometry),Geometry,1
241,Polynomial,Mathematics,1
242,Descartes' rule of signs,Addition,1
243,Scalar multiplication,Number,1
244,Interval (mathematics),Real number,0
245,Real line,Rational number,1
246,Common logarithm,Mathematics,1
247,Curve,Cone,0
248,Natural logarithm,Inequality (mathematics),0
249,Addition,Number,1
250,Spherical law of cosines,Mathematics,1
251,Law of sines,Point (geometry),1
252,Binary logarithm,Number,1
253,Exponentiation,Fundamental theorem of algebra,0
254,Perpendicular,Parallel (geometry),0
255,Euclidean vector,Geometry,0
256,Equality (mathematics),System of linear equations,0
257,Square matrix,Elementary matrix,0
258,Number,Matrix multiplication,0
259,Square root,Algebraic expression,0
260,Limit of a function,Calculus,1
261,Logarithm,Scientific notation,0
262,Force,Work (physics),0
263,Cartesian coordinate system,Angle,1
264,Common logarithm,Base (exponentiation),1
265,Mathematics,Complex plane,0
266,Mathematics,Angle,0
267,Determinant,Main diagonal,0
268,Addition,Sum,0
269,Geometry,Trigonometry,0
270,Matrix (mathematics),Vector field,0
271,Equation,Parametric equation,0
272,Complex number,Number,1
273,Binomial,Binomial coefficient,0
274,Set (mathematics),Commutative property,0
275,Quadratic function,Graph of a function,0
276,Mathematics,Analytic geometry,0
277,Integer,Binomial,0
278,Number,Algebra,0
279,Degree (angle),Minute and second of arc,0
280,Geometry,Trigonometric tables,0
281,Geometry,Mathematics,1
282,Image (mathematics),Vector field,0
283,Angle,Right angle,0
284,Circle,Eccentricity (mathematics),0
285,Degree of a polynomial,Polynomial,1
286,Position (vector),Euclidean vector,1
287,Mathematics,Even and odd functions,0
288,Monotonic function,Mathematics,1
289,Mathematics,Real line,0
290,Periodic function,Mathematics,1
291,Mathematics,Line segment,0
292,Exponential growth,Function (mathematics),1
293,Range (mathematics),Mathematics,1
294,Multiplication,Synthetic division,0
295,Algebraic operation,Algebra,1
296,Polar coordinate system,Geometry,1
297,Function (mathematics),Domain of a function,0
298,Mathematics,Binomial coefficient,0
299,Number,Cartesian coordinate system,0
300,Basis (linear algebra),Mathematics,1
301,Mathematics,Rectangle,0
302,Equation,Inequality (mathematics),0
303,Polynomial,Equation,0
304,Equation solving,Number,1
305,Addition,Integer,0
306,Triangle,Point (geometry),1
307,Addition,Binomial theorem,0
308,Mathematics,Product (mathematics),0
309,Polynomial long division,Polynomial,1
310,Polygon,Solution of triangles,0
311,Vector field,Real number,0
312,Addition,Rational root theorem,0
313,Complex number,Multiplicative inverse,0
314,Linear inequality,Mathematics,1
315,Natural number,Set-builder notation,0
316,Fundamental theorem of algebra,Mathematics,1
317,Natural logarithm,Common logarithm,0
318,Scientific notation,Base (exponentiation),0
319,Logarithm,Sine,0
320,Circle,Circular motion,0
321,Mathematics,Geometric series,0
322,Real number,Complex conjugate,0
323,Polynomial long division,Number,1
324,Rational function,Real number,0
325,Solution of triangles,Angle,1
326,Trigonometry,Sine,0
327,Cone,Mathematics,1
328,Law of sines,Area,0
329,Geometry,Radius,0
330,Mathematics,Algebraic expression,0
331,Square (algebra),Square root,0
332,Algebraic equation,Number,1
333,Arithmetic,Formula,0
334,Equation,Linear inequality,0
335,Perpendicular,Cone,0
336,Equality (mathematics),Algebraic equation,0
337,Base (exponentiation),Number,1
338,Linear function,Analytic geometry,0
339,Mathematics,Synthetic division,0
340,Trigonometric substitution,Trigonometric functions,1
341,Nth root,Square root,0
342,Multiplication,Multiplicative inverse,0
343,Algebraic expression,Polynomial,1
344,Monomial,Change of variables,0
345,Line segment,Right triangle,0
346,Multiplication,Binomial coefficient,0
347,Square matrix,Identity matrix,0
348,Sine,Cartesian coordinate system,0
349,Rational number,Sine,0
350,Identity matrix,Elementary matrix,0
351,Range (mathematics),Image (mathematics),0
352,Radius,Line (geometry),1
353,Line (geometry),Equation,0
354,Mathematics,Base (exponentiation),0
355,Mathematics,Trigonometric substitution,0
356,Sine,Sine wave,0
357,Dot product,Multiplication,1
358,Integer,Binomial theorem,0
359,Linear function,Equation,0
360,Equality (mathematics),Linear equation,0
361,Real line,Mathematics,1
362,Cross product,Number,1
363,Asymptote,Polynomial long division,0
364,Geometry,Pythagorean trigonometric identity,0
365,Geometric series,Calculus,1
366,Scalar multiplication,Multiplication,1
367,Circular motion,Geometry,1
368,Circular sector,Mathematics,1
369,Number,Extended real number line,0
370,Matrix ring,Number,1
371,Number,Factorization,0
372,Parametric equation,Mathematics,1
373,Angle,Analytic geometry,0
374,Calculus,Linear function,0
375,Maxima and minima,Real number,0
376,Mathematics,Circle,0
377,Addition,Binomial,0
378,Quadratic formula,Quadratic equation,1
379,E (mathematical constant),Base (exponentiation),0
380,Limit (mathematics),Work (physics),0
381,Product topology,Arithmetic,1
382,Expression (mathematics),Mathematics,1
383,Algebraic expression,Rational number,0
384,Number,Distributive property,0
385,Division (mathematics),Number,1
386,Common logarithm,Multiplication,1
387,Addition,Homogeneous polynomial,0
388,Natural number,Real number,0
389,Function (mathematics),Even and odd functions,0
390,Synthetic division,Integer,1
391,Inequality (mathematics),Equation,1
392,Equality (mathematics),Mathematics,1
393,Line (geometry),Cone,0
394,Number,Addition,0
395,Geometry,Inverse trigonometric functions,0
396,Real number,Domain of a function,0
397,Polynomial long division,Division (mathematics),1
398,Matrix multiplication,Vector (mathematics and physics),0
399,Sine wave,Sine,1
400,Commutative property,Function (mathematics),0
401,Transformation (function),Geometry,0
402,Line segment,Cylinder (geometry),0
403,Range (mathematics),Domain of a function,0
404,Rationalisation (mathematics),Nth root,0
405,Trigonometry,Law of sines,0
406,Square root,Cartesian coordinate system,0
407,Number,Differential equation,0
408,Polynomial,Quadratic formula,0
409,Mathematics,Division by zero,0
410,Mathematics,Series (mathematics),0
411,Exponential function,Scientific notation,0
412,Real number,Closed set,0
413,Secant line,Calculus,0
414,Binomial theorem,Integer,1
415,Vertical line test,Function (mathematics),1
416,Exponentiation,Common logarithm,0
417,Scalar (mathematics),Real number,0
418,Mathematics,Formula,0
419,Binary logarithm,Base (exponentiation),1
420,Rational root theorem,Number,1
421,Exponential function,Exponentiation,1
422,Number,Common logarithm,0
423,Angle,Mathematics,1
424,Geometry,Trigonometric substitution,0
425,Complex number,Natural number,0
426,Plane (geometry),Polar coordinate system,0
427,Division (mathematics),Synthetic division,0
428,Real line,Number,1
429,Exponentiation,Set (mathematics),0
430,Integer,Degree of a polynomial,0
431,Subtraction,Arithmetic,1
432,Product (mathematics),Dot product,0
433,Right angle,Mathematics,1
434,Multiplication,Scientific notation,0
435,Number,Polar coordinate system,0
436,Solution of triangles,Mathematics,1
437,Integer,Set (mathematics),0
438,Exponential function,Logarithm,0
439,Minute and second of arc,Angle,0
440,Plane curve,Plane (geometry),1
441,Even and odd functions,Graph of a function,0
442,Exponentiation,Exponential growth,0
443,Function (mathematics),Real number,0
444,Pythagorean trigonometric identity,Pythagorean theorem,1
445,E (mathematical constant),Natural logarithm,0
446,Function (mathematics),Monotonic function,0
447,Quadratic equation,Mathematics,1
448,Equation,Differential equation,0
449,Geometry,Rotation of axes,0
450,Edge,Line segment,1
451,Vector (mathematics and physics),Calculus,0
452,Solution of triangles,Trigonometry,1
453,Function (mathematics),Inverse function,0
454,Polynomial,Multiplication,1
455,Square root,Square (algebra),1
456,Dependent and independent variables,Mathematics,1
457,Mathematics,Eccentricity (mathematics),0
458,Mathematics,Ellipse,0
459,Coordinate system,Rotation of axes,0
460,Matrix ring,Mathematics,1
461,Geometry,Perpendicular,0
462,Exponential function,Multiplication,1
463,Cubic function,Function (mathematics),1
464,Quadrant (plane geometry),Number,1
465,Polynomial,Homogeneous polynomial,0
466,Number,Coordinate system,0
467,Interval (mathematics),Empty set,0
468,Coordinate system,Equation,0
469,Number,System of linear equations,0
470,Cartesian coordinate system,Distance,1
471,Mathematics,Unit circle,0
472,Geometry,Line segment,0
473,Zero of a function,Mathematics,1
474,Exponentiation,Rational number,0
475,Semi-major axis,Work (physics),0
476,Number,Binomial,0
477,Arithmetic,Rational root theorem,0
478,Amplitude,Displacement (vector),0
479,Trigonometry,Inverse trigonometric functions,0
480,Exponentiation,Exponential function,0
481,Logarithm,Addition,0
482,Algebra,Algebraic expression,0
483,Secant line,Line (geometry),1
484,Exponentiation,Degree of a polynomial,0
485,Line (geometry),Conic section,0
486,Perpendicular,Cartesian coordinate system,0
487,Mathematics,Differential equation,0
488,Complex number,Identity (mathematics),0
489,Pythagorean theorem,Mathematics,1
490,Equation solving,Domain of a function,0
491,Addition,Matrix ring,0
492,Rational root theorem,Equation solving,1
493,Logarithm,Identity (mathematics),0
494,Mathematics,Cubic function,0
495,Mathematics,Identity (mathematics),0
496,Geometry,Orientation (geometry),0
497,Equation,System of linear equations,0
498,Square (algebra),Number,1
499,Perpendicular,Line (geometry),1
500,Mathematics,Logarithm,0
501,Geometry,Unit circle,0
502,Geometry,Circular motion,0
503,Open set,Set (mathematics),1
504,Rational root theorem,Rational number,1
505,Rotation (mathematics),Mathematics,1
506,Geometry,Rectangle,0
507,Quadratic equation,Nth root,0
508,Rotation of axes,Ellipse,0
509,Transformation (function),Coordinate system,0
510,Equation,Geometry,0
511,Mathematics,Cartesian coordinate system,0
512,Range (mathematics),Limit (mathematics),0
513,Trigonometry,Pythagorean trigonometric identity,0
514,Integer,Algebraic expression,0
515,Mathematics,Rotation (mathematics),0
516,Algebraic expression,Arithmetic,1
517,Prime number,Polynomial long division,0
518,Polynomial,Rational root theorem,0
519,Minor (linear algebra),Matrix (mathematics),1
520,Linear function,Mathematics,1
521,Complex number,Subtraction,0
522,Radius,Geometry,1
523,Floor and ceiling functions,Binomial coefficient,0
524,Vertical line test,Geometry,1
525,Synthetic division,Factorization,0
526,Binomial theorem,Polynomial,1
527,Matrix (mathematics),Vector (mathematics and physics),0
528,Parallel (geometry),Line (geometry),1
529,Polynomial,Addition,1
530,Matrix (mathematics),Square matrix,0
531,Multiplication,Empty set,0
532,Sign (mathematics),Inverse element,0
533,Synthetic division,Mathematics,1
534,Negative number,Subtraction,0
535,Binomial,Number,1
536,Perpendicular,Analytic geometry,0
537,Circular sector,Curve,1
538,Radius,Line segment,1
539,Linear equation,Line (geometry),1
540,Natural logarithm,E (mathematical constant),1
541,Zero of a function,Graph of a function,0
542,Circle,Conic section,0
543,Parity (mathematics),Square (algebra),0
544,Imaginary number,Real number,1
545,Coordinate system,Vector field,0
546,Binary number,Number,1
547,Line segment,Transformation (function),0
548,Arithmetic,Product (mathematics),0
549,Distance,Cartesian coordinate system,0
550,Right angle,Angle,1
551,Symmetry,Geometry,0
552,Binary logarithm,Common logarithm,0
553,Integer,Function (mathematics),0
554,Matrix ring,Addition,1
555,Ellipse,Curve,1
556,Binomial coefficient,Binomial theorem,1
557,Edge,Line (geometry),1
558,Geometry,Sine,0
559,Angle,Solution of triangles,0
560,Linear equation,Graph of a function,0
561,Geometry,Line (geometry),0
562,Triangle,Geometry,1
563,Equation,Algebraic equation,0
564,Addition,Equation,0
565,Infinity,Limit (mathematics),0
566,Polynomial,Integer,1
567,Vector (mathematics and physics),Position (vector),0
568,Law of sines,Spherical law of cosines,0
569,Number,Product (mathematics),0
570,Partial fraction decomposition,Polynomial long division,0
571,Linear equation,Change of variables,0
572,Cartesian coordinate system,Perpendicular,1
573,Polynomial,Fundamental theorem of algebra,0
574,Base (exponentiation),Common logarithm,0
575,Geometry,Eccentricity (mathematics),0
576,Domain of a function,Cartesian coordinate system,0
577,Polynomial,Linear function,0
578,Mathematics,Arithmetic mean,0
579,Function (mathematics),Limit of a function,0
580,Fundamental theorem of algebra,Real number,1
581,Algebraic expression,Subtraction,0
582,Equality (mathematics),Identity (mathematics),0
583,Cross product,Real number,0
584,Division (mathematics),Real number,0
585,Number,Linear inequality,0
586,Mathematics,Summation,0
587,Multiplication,Commutative property,0
588,Linear function,Derivative,0
589,Multiplication,Binary logarithm,0
590,Logarithm,Natural number,0
591,Cone,Geometry,1
592,Linear equation,Complex number,0
593,Norm (mathematics),Vector (mathematics and physics),1
594,Empty sum,Summation,1
595,Transformation (function),Circle,0
596,Graph of a function,Vertical line test,0
597,Integer,Rational number,0
598,Trigonometric tables,Trigonometry,1
599,Associative property,Real number,0
600,Equation solving,Empty set,0
601,Cross product,Arithmetic,1
602,Binary logarithm,Arithmetic,1
603,Point (geometry),Chord (geometry),0
604,Prime number,Binary logarithm,0
605,Product (mathematics),Arithmetic,1
606,Equality (mathematics),Equation,0
607,Mathematics,Product topology,0
608,Binomial theorem,Mathematics,1
609,Line segment,Solution of triangles,0
610,Division (mathematics),Inequality (mathematics),0
611,Matrix multiplication,Main diagonal,0
612,Trigonometry,Mathematics,1
613,Trigonometry,Trigonometric tables,0
614,Number,Algebraic operation,0
615,Complex number,Division (mathematics),0
616,Unit circle,Curve,1
617,Law of sines,Circle,0
618,Arithmetic,Exponential function,0
619,Injective function,Inverse function,0
620,Trigonometric tables,Geometry,1
621,Right triangle,Geometry,1
622,Number,Division by zero,0
623,Polygon,Mathematics,1
624,Mathematics,Transformation (function),0
625,Function (mathematics),Inverse trigonometric functions,0
626,Trigonometric tables,Mathematics,1
627,Pythagorean theorem,Inverse trigonometric functions,0
628,Associative property,Addition,0
629,Matrix (mathematics),Matrix multiplication,0
630,Algebraic expression,Real number,0
631,Rational number,Equation solving,0
632,Plane (geometry),Plane curve,0
633,Geometric progression,Geometry,0
634,Scalar multiplication,Elementary matrix,0
635,Mathematics,Piecewise,0
636,Exponentiation,Cartesian coordinate system,0
637,Multiplication,Polynomial,0
638,Linear equation,Vertical line test,0
639,E (mathematical constant),Real number,0
640,Equation solving,Equality (mathematics),1
641,Mathematics,Multiplicative inverse,0
642,Function (mathematics),Inequality (mathematics),0
643,Even and odd functions,Function (mathematics),1
644,Complex number,Set (mathematics),0
645,Circle,Line (geometry),1
646,Division by zero,Division (mathematics),1
647,Identity (mathematics),Mathematics,1
648,Interval (mathematics),Closed set,0
649,Analytic geometry,Geometry,1
650,Coordinate system,Number,1
651,Equation,Function (mathematics),0
652,Integer,Natural number,0
653,Matrix (mathematics),Matrix ring,0
654,Binomial,Calculus,0
655,Cross product,Mathematics,1
656,Sum,Arithmetic,1
657,Multiplication,Product (mathematics),0
658,Exponentiation,Identity (mathematics),0
659,Arithmetic,Matrix ring,0
660,Floor and ceiling functions,Series (mathematics),0
661,Real number,Graph of a function,0
662,Geometry,Origin (mathematics),0
663,Polynomial,Binomial,0
664,Degree of a polynomial,Polynomial long division,0
665,Mathematics,Exponential function,0
666,Number,Cross product,0
667,Complex number,Rational number,0
668,Absolute value,Real number,1
669,Work (physics),Calculus,0
670,Associative property,Exponentiation,0
671,Mathematics,Sine,0
672,Matrix (mathematics),Determinant,0
673,Cartesian coordinate system,Number,1
674,Function (mathematics),Transformation (function),0
675,Number,Multiplication,0
676,Mathematics,Mathematical proof,0
677,Associative property,Algebraic expression,0
678,Chord (geometry),Curve,1
679,Mathematics,Calculus,0
680,Product (mathematics),Cross product,0
681,E (mathematical constant),Number,1
682,Exponentiation,Binary logarithm,0
683,Exponentiation,Number,1
684,Rational number,Rational root theorem,0
685,Mathematics,Operation (mathematics),0
686,Plane (geometry),Complex plane,0
687,Graph of a function,Quadrant (plane geometry),0
688,Limit (mathematics),Limit of a function,0
689,Partial fraction decomposition,Integer,1
690,Multiplication,Scalar multiplication,0
691,Fundamental theorem of algebra,Equation,1
692,Addition,Inequality (mathematics),0
693,Inverse function,Change of variables,0
694,Plane curve,Asymptote,0
695,Hyperbola,Rotation of axes,0
696,Descartes' rule of signs,Real number,0
697,Number,Absolute value,0
698,Set (mathematics),Set-builder notation,0
699,Differential equation,Equality (mathematics),1
700,Analytic geometry,Plane (geometry),1
701,Geometry,Linear equation,0
702,Complex number,Equation,0
703,Square root,Pythagorean theorem,0
704,Binary logarithm,Exponentiation,1
705,Number,Parametric equation,0
706,Set (mathematics),Equation solving,0
707,Point (geometry),Solution of triangles,0
708,Invertible matrix,Matrix (mathematics),1
709,Addition,Algebraic expression,0
710,Complex number,Commutative property,0
711,Pythagorean theorem,Rational number,0
712,Binary logarithm,Scientific notation,0
713,Complex number,Rational function,0
714,Product topology,Product (mathematics),1
715,Semi-major axis,Hyperbola,0
716,Line segment,Spherical law of cosines,0
717,Arithmetic,Arithmetic mean,0
718,Polynomial,Zero of a function,0
719,Multiplication,Rational root theorem,0
720,Addition,Arithmetic,1
721,Set (mathematics),Closed set,0
722,Exponential growth,Mathematics,1
723,Inverse element,Sign (mathematics),1
724,Rational root theorem,Arithmetic,1
725,Secant line,Interval (mathematics),0
726,Quadrant (plane geometry),Mathematics,1
727,System of linear equations,Geometry,1
728,Vector field,Derivative,0
729,Ellipse,Line (geometry),1
730,Complex number,Complex conjugate,0
731,Matrix multiplication,Arithmetic,1
732,Mathematics,Exponentiation,0
733,Number,Natural logarithm,0
734,Euclidean vector,Position (vector),0
735,Eccentricity (mathematics),Circle,1
736,Spherical law of cosines,Trigonometry,1
737,Force,Simple harmonic motion,0
738,Polynomial long division,Rational root theorem,0
739,Rational number,E (mathematical constant),0
740,Linear inequality,Algebra,1
741,Addition,Degree of a polynomial,0
742,Solution of triangles,Line segment,1
743,System of linear equations,Equation,1
744,Calculus,Limit of a function,0
745,Unit circle,Line (geometry),1
746,Function (mathematics),Injective function,0
747,Hyperbola,Cone,0
748,Mathematics,Curve,0
749,Geometry,Right angle,0
750,Natural logarithm,Mathematics,1
751,Square root,Function (mathematics),0
752,Polygon,Point (geometry),1
753,Square root,Geometry,0
754,Curve,Eccentricity (mathematics),0
755,Number,Base (exponentiation),0
756,Number,Basis (linear algebra),0
757,Triangle,Mathematics,1
758,Square root,Quadratic function,0
759,Function (mathematics),Dependent and independent variables,0
760,Set-builder notation,Real number,0
761,Exponentiation,Function (mathematics),0
762,Number,Rational number,0
763,Function (mathematics),Constant function,0
764,Multiplication,Number,1
765,Mathematics,Radius,0
766,Open set,Interval (mathematics),0
767,Function composition,Function (mathematics),1
768,Quadratic equation,Negative number,0
769,Mathematics,Homogeneous polynomial,0
770,Circle,Rational number,0
771,Linear equation,Equality (mathematics),1
772,Square (algebra),Mathematics,1
773,Algebraic expression,Addition,1
774,Polynomial long division,Addition,1
775,Addition,Elementary matrix,0
776,Mathematics,Square root,0
777,Division by zero,Number,1
778,Logarithm,Complex number,0
779,Exponential function,Real number,0
780,Asymptote,Curve,1
781,Circle,Chord (geometry),0
782,Number,Binary number,0
783,Negative number,Distance,0
784,Circle,Cone,0
785,Number,Binary logarithm,0
786,Algebraic expression,E (mathematical constant),0
787,Linear equation,Number,1
788,Natural logarithm,Multiplication,1
789,Polynomial,Real number,0
790,Degree of a polynomial,Algebraic expression,0
791,Quadratic equation,Equality (mathematics),1
792,Line segment,Polygon,0
793,Equality (mathematics),Fundamental theorem of algebra,0
794,Scientific notation,E (mathematical constant),0
795,Algebraic expression,Square (algebra),1
796,Mathematics,Floor and ceiling functions,0
797,Analytic geometry,Equality (mathematics),1
798,Integer,Polynomial long division,0
799,Right angle,Right triangle,0
800,Set (mathematics),Distance,0
801,Circle,Curve,1
802,Number,Binomial theorem,0
803,Arithmetic,Quadratic formula,0
804,Point (geometry),Origin (mathematics),0
805,Square root,Quadratic equation,0
806,Binomial coefficient,Addition,1
807,Open set,Domain of a function,0
808,Arithmetic,Binary logarithm,0
809,Polynomial long division,Factorization,0
810,Multiplication,Dot product,0
811,Natural logarithm,Logarithm,1
812,Mathematics,Descartes' rule of signs,0
813,Sine wave,Trigonometry,1
814,Algebra,Square root,0
815,Polynomial,Degree of a polynomial,0
816,Natural number,Negative number,0
817,Algebraic operation,Mathematics,1
